,,Sample,Sample Amount,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon
,,,,Reten. Time [min],Weight [mg],Weight [%],Reten. Time [min],Weight [mg],Weight [%]
_18_10_2013 1_13_04 PM_011,Colibrick - 1,blind standard,5.967,2.053,0.291,4.87,3.26,4.204,70.45
_18_10_2013 1_25_05 PM_013,Colibrick - 1,6.00E+01,5.429,2.067,0.077,1.42,3.42,2.586,47.62
_18_10_2013 1_19_04 PM_012,Colibrick - 1,2.00E+05,5.975,2.067,0.103,1.72,3.44,2.965,49.63
