"# surveyed on July 9, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,Dead,Height,1 shoot length,2 shoot length,3 shoot length,4 shoot length,5 shoot length,6 shoot length,7 shoot length,8 shoot length,9 shoot length,10 shoot length,11 shoot length,12 shoot length,13 shoot length,14 shoot length,15 shoot length,16 shoot length,17 shoot length,18 shoot length,19 shoot length,20 shoot length,21 shoot length,22 shoot length
3,none,6,28,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,29,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,6,30,0,1.5,1.5,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,31,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,32,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,33,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,34,0,6,2,2,2,,,,,,,,,,,,,,,,,,,
3,none,6,35,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,6,36,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,6,37,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,6,38,0,7,7,,,,,,,,,,,,,,,,,,,,,
3,none,6,39,0,47.5,3,3,1.5,1,0.5,0.5,3,3,10,9.5,,,,,,,,,,,,
3,none,6,40,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,41,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,42,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,43,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,44,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,45,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,46,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,47,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,48,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,49,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,50,0,5,1.5,1,1,,,,,,,,,,,,,,,,,,,
3,aphid,12,51,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,52,0,5,4.5,,,,,,,,,,,,,,,,,,,,,
3,none,12,53,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,54,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,55,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,56,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,57,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,58,1,,,,,,,,,,,,,,,,,,,,,,,
3,aphid,12,59,1,,,,,,,,,,,,,,,,,,,,,,,
3,none,12,60,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,10,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,11,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,12,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,13,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,14,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,15,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,16,0,4,0.5,,,,,,,,,,,,,,,,,,,,,
4,none,1,17,0,5.5,4.5,,,,,,,,,,,,,,,,,,,,,
4,aphid,1,18,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,19,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,1,20,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,21,0,6,4,4.5,,,,,,,,,,,,,,,,,,,,
4,none,6,22,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,23,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,24,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,25,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,26,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,27,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,28,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,29,0,5,3.5,3,4,3,,,,,,,,,,,,,,,,,,
4,none,6,30,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,31,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,32,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,33,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,34,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,35,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,6,36,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,6,37,0,5,5,,,,,,,,,,,,,,,,,,,,,
4,none,6,38,0,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,
4,aphid,6,39,0,28,6.5,3.5,4,3.5,,,,,,,,,,,,,,,,,,
4,none,6,40,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,41,0,5,4.5,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,42,0,10.5,10.5,,,,,,,,,,,,,,,,,,,,,
4,none,12,43,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,12,44,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,45,0,6,6,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,46,0,6,5,6,,,,,,,,,,,,,,,,,,,,
4,none,12,47,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,12,48,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,49,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,12,50,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,51,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,12,52,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,53,1,,,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,54,0,15,6,4,1,10.5,,,,,,,,,,,,,,,,,,
4,none,12,55,1,,,,,,,,,,,,,,,,,,,,,,,
4,none,12,56,0,9,9,,,,,,,,,,,,,,,,,,,,,
4,aphid,12,57,0,9,4,1.5,7.5,3,1,,,,,,,,,,,,,,,,,
4,aphid,12,58,0,17,17,6.5,,,,,,,,,,,,,,,,,,,,
4,none,12,59,0,5,5,,,,,,,,,,,,,,,,,,,,,
4,none,12,60,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,1,1,0,8,9,,,,,,,,,,,,,,,,,,,,,
5,aphid,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,1,3,0,13,1.5,0.5,8,,,,,,,,,,,,,,,,,,,
5,aphid,1,4,0,5,5.5,,,,,,,,,,,,,,,,,,,,,
5,none,1,5,0,17,1.5,0.5,2.5,4,1.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,
5,aphid,1,6,0,15,1.5,1.5,2,4,14,,,,,,,,,,,,,,,,,
5,none,1,7,0,13,11,10.5,0.5,,,,,,,,,,,,,,,,,,,
5,aphid,1,8,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,1,10,0,22,21.5,,,,,,,,,,,,,,,,,,,,,
5,aphid,1,11,0,19,19.5,4.5,,,,,,,,,,,,,,,,,,,,
5,aphid,1,12,0,3.5,3.5,,,,,,,,,,,,,,,,,,,,,
5,none,1,13,0,10,1.5,1,0.5,2.5,1,2,1.5,0.5,,,,,,,,,,,,,,
5,none,1,14,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,1,15,0,14,6,6,2,2.5,5,5,4,4,1,,,,,,,,,,,,,
5,aphid,1,16,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,1,17,0,17,3.5,2,2,1,5,1,3,4,,,,,,,,,,,,,,
5,none,1,18,0,9,9,,,,,,,,,,,,,,,,,,,,,
5,none,1,19,0,14,14,,,,,,,,,,,,,,,,,,,,,
5,none,1,20,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,21,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,22,0,10,5.5,2.5,,,,,,,,,,,,,,,,,,,,
5,none,6,23,0,9.5,2,3.5,1,,,,,,,,,,,,,,,,,,,
5,none,6,24,0,5.5,3.5,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,25,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,26,0,7.5,7.5,2.5,,,,,,,,,,,,,,,,,,,,
5,none,6,27,0,10,5,2.5,1,2,,,,,,,,,,,,,,,,,,
5,none,6,28,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,29,0,5.5,5.5,1.5,,,,,,,,,,,,,,,,,,,,
5,aphid,6,30,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,31,0,11.5,0.5,1,0.5,2.5,1,0.5,0.5,,,,,,,,,,,,,,,
5,aphid,6,32,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,6,33,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,34,0,10,9.5,1.5,,,,,,,,,,,,,,,,,,,,
5,none,6,35,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,6,36,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,6,37,0,8.5,2,2.5,1.5,1,1,1,,,,,,,,,,,,,,,,
5,none,6,38,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,6,39,0,13,6,2,1,1.5,2,4,,,,,,,,,,,,,,,,
5,none,6,40,0,7,1.5,1,0.5,6,5,2.5,1,2.5,,,,,,,,,,,,,,
5,aphid,12,41,0,55,3,2,2,1,1,0.5,0.5,2.5,1,1,2,0.5,1,1.5,2,0.5,4,1.5,1,1,1.5,0.5
5,aphid,12,42,0,15,15,,,,,,,,,,,,,,,,,,,,,
5,none,12,43,0,50,2.5,,,,,,,,,,,,,,,,,,,,,
5,none,12,44,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,45,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,46,0,58,4,2.5,2,1,2,1,0.5,0.5,2,2,1,,,,,,,,,,,
5,aphid,12,47,0,51,4,3,1,3,1.5,2.5,3,0.5,0.5,2,1.5,0.5,2.5,1,1.5,3,1,0.5,,,,
5,aphid,12,48,0,56,1.5,1,1,1,1,0.5,0.5,1,1,0.5,1,1,0.5,0.5,0.5,0.5,2.5,1.5,,,,
5,none,12,49,0,11,10,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,50,0,49.5,3,2,3,2.5,1,1,2,,,,,,,,,,,,,,,
5,none,12,51,0,49.5,1.5,2,3.5,1,2,3,1,0.5,0.5,1,0.5,2,1.5,1,0.5,0.5,,,,,,
5,none,12,52,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,53,1,,,,,,,,,,,,,,,,,,,,,,,
5,none,12,54,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,55,1,,,,,,,,,,,,,,,,,,,,,,,
5,aphid,12,56,0,38,1,19.5,,,,,,,,,,,,,,,,,,,,
5,none,12,57,0,12,12,,,,,,,,,,,,,,,,,,,,,
5,none,12,58,0,63,5,6,3,2.5,2,1.5,2,3.5,0.5,3.5,2.5,,,,,,,,,,,
5,none,12,59,0,56.5,2.5,1.5,1.5,1.5,1.5,1,0.5,2,2,1,1,0.5,0.5,,,,,,,,,
5,none,12,60,0,39.5,4,2.5,2,1,0.5,1,0.5,2.5,0.5,0.5,2,2,1,1.5,,,,,,,,
