data.collector,date,survey.time,block,treatment,min.speed,max.speed,notes
Brendan,"July 28, 2013",1230_1400,1,Exposed,0,3.6,Start time: ~12:30
Brendan,"July 28, 2013",1230_1400,1,Unexposed,0,3.2,"Weather: Hazy, 21C"
Brendan,"July 28, 2013",1230_1400,2,Exposed,0,4.5,
Brendan,"July 28, 2013",1230_1400,2,Unexposed,0,3.4,
Brendan,"July 28, 2013",1230_1400,3,Exposed,0,7.6,
Brendan,"July 28, 2013",1230_1400,3,Unexposed,0,0.4,
Brendan,"July 28, 2013",1230_1400,4,Exposed,0,6.2,
Brendan,"July 28, 2013",1230_1400,4,Unexposed,1,5.2,
Brendan,"July 28, 2013",1230_1400,5,Exposed,0.6,5.4,
Brendan,"July 28, 2013",1230_1400,5,Unexposed,0,4.4,
Brendan,"July 28, 2013",1230_1400,6,Exposed,0,4.3,
Brendan,"July 28, 2013",1230_1400,6,Unexposed,0,4.5,
Brendan,"July 28, 2013",1230_1400,7,Exposed,0,6.3,
Brendan,"July 28, 2013",1230_1400,7,Unexposed,0,5.4,
Brendan,"July 28, 2013",1230_1400,8,Exposed,3.6,7.1,
Brendan,"July 28, 2013",1230_1400,8,Unexposed,2.1,6.2,
Brendan,"July 28, 2013",1230_1400,9,Exposed,0,6.4,
Brendan,"July 28, 2013",1230_1400,9,Unexposed,0,5.3,
Brendan,"July 28, 2013",1230_1400,10,Exposed,0,6.3,
Brendan,"July 28, 2013",1230_1400,10,Unexposed,0,6,End time: ~14:00
Matt,"before July 7, 2013",1245_1340,4,Unexposed,0,2.4,
Matt,"before July 7, 2013",1245_1340,4,Exposed,2.7,6.1,
Matt,"before July 7, 2013",1245_1340,1,Unexposed,0,1.4,
Matt,"before July 7, 2013",1245_1340,1,Exposed,0,4.2,
Matt,"before July 7, 2013",1245_1340,2,Exposed,0,3.7,
Matt,"before July 7, 2013",1245_1340,2,Unexposed,0,2,
Matt,"before July 7, 2013",1245_1340,3,Exposed,0,3.5,
Matt,"before July 7, 2013",1245_1340,3,Unexposed,0,0.4,
Matt,"before July 7, 2013",1245_1340,5,Exposed,0.7,5.2,
Matt,"before July 7, 2013",1245_1340,5,Unexposed,0,2.7,
Matt,"before July 7, 2013",1245_1340,6,Exposed,0,3.9,
Matt,"before July 7, 2013",1245_1340,6,Unexposed,0,0.9
Matt,"before July 7, 2013",1245_1340,10,Exposed,0.3,4.9
Matt,"before July 7, 2013",1245_1340,10,Unexposed,0,4.1
Matt,"before July 7, 2013",1245_1340,7,Exposed,1.5,5.6
Matt,"before July 7, 2013",1245_1340,7,Unexposed,0,1.6
Matt,"before July 7, 2013",1245_1340,8,Exposed,0,4.8
Matt,"before July 7, 2013",1245_1340,8,Unexposed,0,1.3
Matt,"before July 7, 2013",1245_1340,9,Exposed,0.4,6.1
Matt,"before July 7, 2013",1245_1340,9,Unexposed,0,1.5
Matt,"September 10, 2012",1500_1600,4,u,0,2.7
Matt,"September 10, 2012",1500_1600,4,e,5.9,10.6
Matt,"September 10, 2012",1500_1600,1,e,2.4,9.8
Matt,"September 10, 2012",1500_1600,1,u,0,0.9
Matt,"September 10, 2012",1500_1600,2,u,0,2.6
Matt,"September 10, 2012",1500_1600,2,e,2.8,10.1
Matt,"September 10, 2012",1500_1600,3,e,1.5,10.5
Matt,"September 10, 2012",1500_1600,3,u,0,1.6
Matt,"September 10, 2012",1500_1600,5,e,4.6,11.1
Matt,"September 10, 2012",1500_1600,5,u,0,4.3
Matt,"September 10, 2012",1500_1600,6,u,0,4.4
Matt,"September 10, 2012",1500_1600,6,e,1.5,12
Matt,"September 10, 2012",1500_1600,10,e,2.3,7.9
Matt,"September 10, 2012",1500_1600,10,u,0,4.6
Matt,"September 10, 2012",1500_1600,7,e,4.7,8.9
Matt,"September 10, 2012",1500_1600,7,u,0,3
Matt,"September 10, 2012",1500_1600,8,e,3.6,7.7
Matt,"September 10, 2012",1500_1600,8,u,0,1.2
Matt,"September 10, 2012",1500_1600,9,u,0,1.2
Matt,"September 10, 2012",1500_1600,9,e,3.6,8.9
