"","OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"1","OTU_1606","Fungi","Ascomycota","Dothideomycetes","Incertae sedis","Pseudeurotiaceae","Pseudogymnoascus","Pseudogymnoascus roseus","Probable","NULL","Undefined Saprotroph","Probable"
"2","OTU_113","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella sp","Probable","NULL","Undefined Saprotroph","Probable"
"3","OTU_66","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus terricola","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"4","OTU_54","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola nigrescens","Probable","NULL","Undefined Saprotroph-Wood Saprotroph","Probable"
"5","OTU_68","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"6","OTU_262","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Cadophora","Cadophora finlandica","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"7","OTU_119","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus albidus","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"8","OTU_134","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
