"","PC1","PC2","PC3","PC4","PC5"
"Height",0.505484407926961,-0.491500731134817,0.1696047636874,-0.1826182573655,0.663925704313366
"all.shoot.count",0.427340630602064,0.252502765969264,-0.714865097217327,0.46181872952944,0.17121241909037
"mature.shoot.avg.length",0.644831252784407,-0.140531088734924,-0.0371237365390685,-0.326917162122098,-0.675418881751821
"leaf_WC",-0.361601141716184,-0.392340601887642,-0.677294402773486,-0.506199674816085,0.0186453106113282
"leaf_trichome.density",-0.123704359346807,-0.721795850418407,0.00981004954566095,0.624708805331512,-0.270833257312597
