"","Year","Block","Aphid.Treatment","Ant.Mound.Dist","Genotype","Plant_Position","plant.id","Dead","leaf_count","Height","mature.shoot.count","immature.shoot.count","all.shoot.count","mature.shoot.total.length","mature.shoot.avg.length","leaf_WC","leaf_percent.browned","leaf_trichome.density","all.shoot.total.length","all.shoot.avg.length"
"44",2012,"1","aphid",12,"T",44,"1.44",0,17,57.5,3,0,3,25.7,1.42777777777778,2.07407407407407,0.5,5,NA,NA
"45",2012,"1","none",12,"W",45,"1.45",0,18,57.5,3,0,3,29.1,1.61666666666667,NA,NA,NA,NA,NA
"46",2012,"1","aphid",12,"J",46,"1.46",0,8,48,3,1,4,16,0.888888888888889,4.26315789473684,0.5,25,NA,NA
"47",2012,"1","none",12,"J",47,"1.47",0,0,10,0,5,5,0,0,NA,NA,NA,NA,NA
"48",2012,"1","aphid",12,"X",48,"1.48",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2012,"1","none",12,"X",49,"1.49",0,8,48.5,2,0,2,14.5,0.805555555555556,3.62790697674419,0,77,NA,NA
"50",2012,"1","none",12,"T",50,"1.50",0,1,48,1,4,5,6.7,0.372222222222222,NA,NA,NA,NA,NA
"51",2012,"1","aphid",12,"S",51,"1.51",0,3,11,3,3,6,5.8,0.322222222222222,NA,NA,NA,NA,NA
"52",2012,"1","none",12,"S",52,"1.52",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2012,"1","aphid",12,"L",53,"1.53",0,8,21,2,0,2,11.1,0.616666666666667,NA,NA,NA,NA,NA
"54",2012,"1","aphid",12,"F",54,"1.54",0,0,16,0,3,3,0,0,NA,NA,NA,NA,NA
"55",2012,"1","none",12,"F",55,"1.55",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2012,"1","aphid",12,"U",56,"1.56",0,4,9,1,0,1,7.5,0.416666666666667,NA,NA,NA,NA,NA
"57",2012,"1","aphid",12,"I",57,"1.57",0,0,8,0,1,1,0,0,NA,NA,NA,NA,NA
"58",2012,"1","none",12,"I",58,"1.58",0,0,2.5,0,1,1,0,0,NA,NA,NA,NA,NA
"59",2012,"1","none",12,"U",59,"1.59",0,0,10,0,3,3,0,0,NA,NA,NA,NA,NA
"60",2012,"1","none",12,"L",60,"1.60",0,0,12,0,6,6,0,0,NA,NA,NA,NA,NA
"61",2012,"2","aphid",1,"W",1,"2.1",1,NA,NA,NA,NA,NA,NA,NA,1.57142857142857,0.5,22,NA,NA
"62",2012,"2","aphid",1,"X",2,"2.2",0,12,32.5,5,0,5,21.7,1.20555555555556,1.97058823529412,0,31,NA,NA
"63",2012,"2","aphid",1,"G",3,"2.3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2012,"2","none",1,"G",4,"2.4",0,5,34,1,0,1,4,0.222222222222222,1.88636363636364,0,59,NA,NA
"65",2012,"2","none",1,"X",5,"2.5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2012,"2","none",1,"W",6,"2.6",0,10,51,1,0,1,12,0.666666666666667,NA,NA,NA,NA,NA
"67",2012,"2","aphid",1,"T",7,"2.7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2012,"2","none",1,"T",8,"2.8",0,11,60,2,0,2,25.5,1.41666666666667,NA,NA,NA,NA,NA
"69",2012,"2","aphid",1,"S",9,"2.9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2012,"2","aphid",1,"F",10,"2.10",0,21,46.5,6,0,6,18.2,1.01111111111111,NA,NA,NA,NA,NA
"71",2012,"2","aphid",1,"J",11,"2.11",0,40,52,8,0,8,49.4,2.74444444444444,1.81578947368421,0,5,NA,NA
"72",2012,"2","none",1,"S",12,"2.12",0,24,56,2,0,2,22.5,1.25,2.025,0.5,28,NA,NA
"73",2012,"2","aphid",1,"I",13,"2.13",0,14,51,3,0,3,11.4,0.633333333333333,2,0.5,38,NA,NA
"74",2012,"2","none",1,"F",14,"2.14",0,30,49,5,0,5,22.6,1.25555555555556,1.45833333333333,0,2,NA,NA
"75",2012,"2","none",1,"I",15,"2.15",0,30,47,12,0,12,33,1.83333333333333,NA,0.5,NA,NA,NA
