"","Year","Block","Wind.Exposure","Genotype","plant_ID","Dead","Height","all.shoot.count","all.shoot.avg.length","leaf_trichome.density","leaf_WC","SLA","leaf_area.mm2","leaf_C_N","leaf_C.mg","leaf_N.mg","leaf_C.perc","leaf_N.perc","trait.PC1","trait.PC2","root_N.perc","root_N.mg","root_C.perc","root_C.mg","root_CN"
"32",2012,"2","Unexposed","I","2UI2",0,26.5,5,0.9375,43,1.56756756756757,NA,NA,NA,NA,NA,NA,NA,0.109585172326892,0.631473687588871,NA,NA,NA,NA,NA
"33",2012,"2","Unexposed","F","2UF3",0,28,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0858303806198731,-0.0297068371098179,NA,NA,NA,NA,NA
"34",2012,"2","Unexposed","L","2UL4",0,32,8,1.3125,59,3.08,NA,NA,NA,NA,NA,NA,NA,1.62336241968497,3.64780727626384,NA,NA,NA,NA,NA
"35",2012,"2","Unexposed","X","2UX5",0,29,4,0.8125,53,1.85507246376812,NA,NA,NA,NA,NA,NA,NA,-0.177958398988085,1.22046955320283,NA,NA,NA,NA,NA
"36",2012,"2","Unexposed","S","2US6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"37",2012,"2","Unexposed","U","2UU7",0,38,4,1.25,28,3.23529411764706,NA,NA,NA,NA,NA,NA,NA,0.808103782880302,2.1002134198067,NA,NA,NA,NA,NA
"38",2012,"2","Unexposed","T","2UT8",0,31.5,3,0.75,17,1.88732394366197,NA,NA,NA,NA,NA,NA,NA,-0.527712823472734,-0.170136787328209,NA,NA,NA,NA,NA
"39",2012,"2","Unexposed","J","2UJ9",0,4.5,3,0.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.41129434462027,0.565682714198062,NA,NA,NA,NA,NA
"40",2012,"2","Unexposed","G","2UG10",0,13,4,0.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.53024040848245,0.648885692081977,NA,NA,NA,NA,NA
"41",2012,"3","Exposed","W","3EW1",0,29.5,2,0.84375,38,1.57446808510638,NA,NA,NA,NA,NA,NA,NA,-0.577341544401475,-0.0154327576495923,NA,NA,NA,NA,NA
"42",2012,"3","Exposed","F","3EF2",0,26,4,0.84375,2,1.40909090909091,NA,NA,NA,NA,NA,NA,NA,-0.486818823981414,-1.13976749704089,NA,NA,NA,NA,NA
"43",2012,"3","Exposed","L","3EL3",0,30.5,5,1,13,1.58974358974359,NA,NA,NA,NA,NA,NA,NA,0.344362841177132,-0.476037085175897,NA,NA,NA,NA,NA
"44",2012,"3","Exposed","I","3EI4",0,26.5,7,1.1875,36,1.5,NA,NA,NA,NA,NA,NA,NA,0.99136831366811,0.536049210747538,NA,NA,NA,NA,NA
"45",2012,"3","Exposed","U","3EU5",0,30.5,5,1.21875,0,1.98181818181818,NA,NA,NA,NA,NA,NA,NA,0.584094991428321,-0.389744542291894,NA,NA,NA,NA,NA
"46",2012,"3","Exposed","X","3EX6",0,29.5,3,0.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.927337475647578,-0.0553859390292601,NA,NA,NA,NA,NA
"47",2012,"3","Exposed","S","3ES7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"48",2012,"3","Exposed","J","3EJ8",0,15,6,0.34375,17,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,-1.93550248811239,2.81534536494518,NA,NA,NA,NA,NA
"49",2012,"3","Exposed","T","3ET9",0,35.5,5,0.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400981455120097,0.172905663873041,NA,NA,NA,NA,NA
"50",2012,"3","Exposed","G","3EG10",0,13.5,1,0.78125,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.18679007633458,-0.375968615311421,NA,NA,NA,NA,NA
"51",2012,"3","Unexposed","W","3UW1",0,32.5,6,1.625,62,1.61538461538462,NA,NA,NA,NA,NA,NA,NA,2.02495961573971,1.25516928539089,NA,NA,NA,NA,NA
"52",2012,"3","Unexposed","F","3UF2",0,28,6,1.34375,1,1.09375,NA,NA,NA,NA,NA,NA,NA,1.0404966904571,-1.4765528517181,NA,NA,NA,NA,NA
"53",2012,"3","Unexposed","L","3UL3",0,27.5,6,0.75,68,2.25,NA,NA,NA,NA,NA,NA,NA,0.0767238656721909,2.65127831581552,NA,NA,NA,NA,NA
"54",2012,"3","Unexposed","I","3UI4",0,23,7,1.40625,21,1.81081081081081,NA,NA,NA,NA,NA,NA,NA,0.997234574367149,0.511874304497737,NA,NA,NA,NA,NA
"55",2012,"3","Unexposed","S","3US5",0,32,5,1.9375,3,1.6875,NA,NA,NA,NA,NA,NA,NA,1.99948663343786,-0.871247706198545,NA,NA,NA,NA,NA
"56",2012,"3","Unexposed","U","3UU6",0,28.5,7,1.15625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.940679928347235,0.562833170446157,NA,NA,NA,NA,NA
"57",2012,"3","Unexposed","X","3UX7",0,41.5,2,1.0625,55,1.953125,NA,NA,NA,NA,NA,NA,NA,0.631269469016394,0.824646108195408,NA,NA,NA,NA,NA
"58",2012,"3","Unexposed","J","3UJ8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42560051063142e-05,-0.000299954463162722,NA,NA,NA,NA,NA
"59",2012,"3","Unexposed","T","3UT9",0,42.5,1,0.78125,1,1.77118644067797,NA,NA,NA,NA,NA,NA,NA,-0.243546416709287,-1.43354655443404,NA,NA,NA,NA,NA
"60",2012,"3","Unexposed","G","3UG10",0,27,2,0.4375,3,1.60526315789474,NA,NA,NA,NA,NA,NA,NA,-1.62338884419558,-1.06002707888506,NA,NA,NA,NA,NA
