"","PC1","PC2","PC3","PC4","PC5","PC6"
"Height",0.461743936553875,-0.292060508457816,0.259400999796834,-0.530462954821983,0.47063024607453,0.36238176389114
"all.shoot.count",0.487500191120593,-0.265016712755436,0.275572702230702,-0.0838075724653853,-0.763138734708231,-0.163599981015696
"all.shoot.avg.length",0.4548204073257,-0.202830294802723,0.059034405736024,0.816238218807205,0.283898010460199,0.0408692714016511
"SLA",-0.457647255080468,-0.419400121963762,0.198458584133039,0.186648665095076,-0.244187627604683,0.693405650641114
"leaf_WC",-0.361967152733128,-0.523976899458195,0.432145100755006,-0.011896641811815,0.235309930294606,-0.593436018192562
"leaf_C_N",-0.0425824852819421,0.594035705493249,0.791928373217188,0.101790275808931,0.0230217713052704,0.0852437800466345
