"","Date_rel","Block","Genotype","Ant.mound.dist","Aphid.treatment","plant_ID","X","Aphis.growth.rate"
"80",7,"3","W",1,"aphid","3_1_aphid_W_12","132",-0.2299197017763
"81",7,"3","W",6,"aphid","3_6_aphid_W_31","151",-0.2299197017763
"82",7,"3","W",12,"aphid","3_12_aphid_W_54","174",0.326054626525218
"83",7,"3","X",1,"aphid","3_1_aphid_X_1","121",0.377008189945037
"84",7,"3","X",6,"aphid","3_6_aphid_X_21","141",-0.2299197017763
"85",7,"3","X",12,"aphid","3_12_aphid_X_42","162",-0.0318776501877442
"86",7,"4","F",1,"aphid","4_1_aphid_F_9","189",0.339935162018596
"87",7,"4","F",6,"aphid","4_6_aphid_F_25","205",-0.2299197017763
"88",7,"4","F",12,"aphid","4_12_aphid_F_45","225",-0.2299197017763
"89",7,"4","G",1,"aphid","4_1_aphid_G_1","181",-0.2299197017763
"90",7,"4","G",6,"aphid","4_6_aphid_G_28","208",-0.2299197017763
"91",7,"4","I",1,"aphid","4_1_aphid_I_4","184",-0.0318776501877442
"92",7,"4","I",6,"aphid","4_6_aphid_I_21","201",-0.2299197017763
"93",7,"4","I",12,"aphid","4_12_aphid_I_41","221",-0.130898675982022
"94",7,"4","J",1,"aphid","4_1_aphid_J_14","194",-0.0729750891094272
"95",7,"4","J",6,"aphid","4_6_aphid_J_37","217",0.282011575146001
"96",7,"4","J",12,"aphid","4_12_aphid_J_57","237",-0.2299197017763
"97",7,"4","L",6,"aphid","4_6_aphid_L_33","213",0.198042051588556
"98",7,"4","L",12,"aphid","4_12_aphid_L_53","233",-0.2299197017763
"99",7,"4","S",1,"aphid","4_1_aphid_S_13","193",-0.2299197017763
"100",7,"4","S",6,"aphid","4_6_aphid_S_39","219",0.166164401400812
"101",7,"4","S",12,"aphid","4_12_aphid_S_58","238",-0.2299197017763
"102",7,"4","T",1,"aphid","4_1_aphid_T_7","187",0.265185427195089
"103",7,"4","T",6,"aphid","4_6_aphid_T_32","212",-0.2299197017763
"104",7,"4","T",12,"aphid","4_12_aphid_T_54","234",-0.2299197017763
"105",7,"4","U",1,"aphid","4_1_aphid_U_12","192",0.27384608745458
"106",7,"4","U",6,"aphid","4_6_aphid_U_27","207",0.260649898864435
"107",7,"4","U",12,"aphid","4_12_aphid_U_49","229",0.300590593467172
"108",7,"4","W",1,"aphid","4_1_aphid_W_11","191",0.32010138418228
"109",7,"4","W",6,"aphid","4_6_aphid_W_29","209",-0.2299197017763
"110",7,"4","W",12,"aphid","4_12_aphid_W_46","226",-0.2299197017763
"111",7,"4","X",1,"aphid","4_1_aphid_X_2","182",0.136501635003919
"112",7,"4","X",6,"aphid","4_6_aphid_X_23","203",-0.2299197017763
"113",7,"4","X",12,"aphid","4_12_aphid_X_42","222",-0.2299197017763
"114",7,"5","F",1,"aphid","5_1_aphid_F_4","244",-0.2299197017763
"115",7,"5","F",6,"aphid","5_6_aphid_F_21","261",-0.2299197017763
"116",7,"5","F",12,"aphid","5_12_aphid_F_47","287",0.265185427195089
"117",7,"5","G",1,"aphid","5_1_aphid_G_8","248",-0.2299197017763
"118",7,"5","G",6,"aphid","5_6_aphid_G_30","270",-0.2299197017763
"119",7,"5","G",12,"aphid","5_12_aphid_G_45","285",-0.2299197017763
"120",7,"5","I",1,"aphid","5_1_aphid_I_2","242",-0.0729750891094272
"121",7,"5","I",6,"aphid","5_6_aphid_I_31","271",-0.2299197017763
"122",7,"5","I",12,"aphid","5_12_aphid_I_50","290",-0.2299197017763
"123",7,"5","J",1,"aphid","5_1_aphid_J_12","252",-0.2299197017763
"124",7,"5","J",6,"aphid","5_6_aphid_J_26","266",-0.2299197017763
"125",7,"5","J",12,"aphid","5_12_aphid_J_48","288",-0.2299197017763
"126",7,"5","L",1,"aphid","5_1_aphid_L_16","256",-0.2299197017763
"127",7,"5","L",6,"aphid","5_6_aphid_L_29","269",0.240914136224318
"128",7,"5","S",1,"aphid","5_1_aphid_S_15","255",-0.2299197017763
"129",7,"5","S",6,"aphid","5_6_aphid_S_32","272",-0.2299197017763
"130",7,"5","T",1,"aphid","5_1_aphid_T_11","251",-0.2299197017763
"131",7,"5","T",6,"aphid","5_6_aphid_T_34","274",-0.2299197017763
"132",7,"5","T",12,"aphid","5_12_aphid_T_46","286",-0.2299197017763
"133",7,"5","U",1,"aphid","5_1_aphid_U_9","249",-0.2299197017763
"134",7,"5","U",6,"aphid","5_6_aphid_U_36","276",0.112636765766324
"135",7,"5","U",12,"aphid","5_12_aphid_U_56","296",-0.2299197017763
"136",7,"5","W",1,"aphid","5_1_aphid_W_6","246",-0.2299197017763
"137",7,"5","W",6,"aphid","5_6_aphid_W_22","262",0.2299197017763
"138",7,"5","W",12,"aphid","5_12_aphid_W_41","281",0.342556467542624
"139",7,"5","X",1,"aphid","5_1_aphid_X_1","241",-0.2299197017763
"140",7,"5","X",6,"aphid","5_6_aphid_X_25","265",-0.2299197017763
"141",7,"5","X",12,"aphid","5_12_aphid_X_42","282",-0.2299197017763
"142",14,"1","F",1,"aphid","1_1_aphid_F_4","304",-0.2299197017763
"143",14,"1","F",6,"aphid","1_6_aphid_F_26","326",-0.00571504780195704
"144",14,"1","F",12,"aphid","1_12_aphid_F_54","354",-0.2299197017763
"145",14,"1","G",1,"aphid","1_1_aphid_G_1","301",-0.2299197017763
"146",14,"1","G",6,"aphid","1_6_aphid_G_24","324",-0.2299197017763
"147",14,"1","G",12,"aphid","1_12_aphid_G_42","342",-0.2299197017763
"148",14,"1","I",1,"aphid","1_1_aphid_I_15","315",0.0774748986893374
"149",14,"1","I",6,"aphid","1_6_aphid_I_36","336",-0.105371277590111
"150",14,NA,NA,NA,NA,"1_12_aphid_I_57",NA,NA
"151",14,"1","J",1,"aphid","1_1_aphid_J_6","306",-0.2299197017763
"152",14,"1","J",6,"aphid","1_6_aphid_J_29","329",-0.02236700867022
"153",14,"1","J",12,"aphid","1_12_aphid_J_46","346",0.048067462374459
"154",14,"1","L",1,"aphid","1_1_aphid_L_14","314",-0.00583171350289354
