"","PC1","PC2","PC3","PC4","PC5"
"Height",0.549138029420617,-0.178140128105269,0.581570998466955,-0.190260058133014,-0.540638329592021
"all.shoot.count",0.465596808526511,0.285501363385532,-0.633328656941624,0.346951099992292,-0.42453307280539
"all.shoot.avg.length",0.682306659500586,-0.066654641833708,0.0347724519682827,0.0862127974348572,0.722061639519606
"leaf_WC",-0.0848727137018982,0.641430961011505,0.506345782587031,0.568110418080957,0.0471958266051104
"leaf_trichome.density",0.0944525351909438,0.686205907320476,-0.0554509790635644,-0.716410462597872,0.0623009579034003
