Plant Position within Willow Garden for cutting,Genotype,Plants Greenhouse Letter,Plant Greenhouse Number,Cutting Length,Random Number,Experiment,Block,Aphids or No-Aphids,Distant to Ant Mound,Plant Position,
486,X,H,6,60,0.23922183,Field Ant,2,aphid,12,41,
487,X,H,2,60,0.257959662,Field Ant,2,none,12,42,
472,G,C,5,60,0.26649032,Field Ant,2,aphid,12,43,
113,T,E,7,60,0.28100078,Field Ant,2,aphid,12,44,
113,T,C,1,60,0.298159374,Field Ant,2,none,12,45,
472,G,F,4,60,0.311279339,Field Ant,2,none,12,46,
23,S,B,4,60,0.326103589,Field Ant,2,aphid,12,47,
23,S,H,6,60,0.333438564,Field Ant,2,none,12,48,
479,I,E,3,60,0.361264431,Field Ant,2,aphid,12,49,
479,I,I,1,60,0.368096762,Field Ant,2,none,12,50,
304,W,C,1,60,0.38911556,Field Ant,2,aphid,12,51,
304,W,B,2,60,0.398805043,Field Ant,2,none,12,52,
41,J,D,2,60,0.406785215,Field Ant,2,aphid,12,53,
41,J,I,3,60,0.409590009,Field Ant,2,none,12,54,
257,F,A,3,60,0.429280849,Field Ant,2,aphid,12,55,
530,L,C,3,60,0.461406222,Field Ant,2,aphid,12,56,
257,F,I,3,60,0.470911746,Field Ant,2,none,12,57,
294,U,I,1,60,0.472577346,Field Ant,2,aphid,12,58,
294,U,A,7,60,0.49735601,Field Ant,2,none,12,59,
530,L,G,3,60,0.558223706,Field Ant,2,none,12,60,
487,X,A,3,60,0.272565785,Field Ant,3,aphid,1,1,
487,X,A,5,60,0.304190079,Field Ant,3,none,1,2,
113,T,H,2,60,0.30642174,Field Ant,3,aphid,1,3,
113,T,G,1,60,0.339615302,Field Ant,3,none,1,4,
472,G,F,2,60,0.339817686,Field Ant,3,aphid,1,5,
472,G,B,2,60,0.37086027,Field Ant,3,none,1,6,
23,S,I,3,60,0.388565368,Field Ant,3,aphid,1,7,
23,S,A,7,60,0.400423731,Field Ant,3,none,1,8,
479,I,G,3,60,0.417472006,Field Ant,3,aphid,1,9,
41,J,A,7,60,0.422054545,Field Ant,3,aphid,1,10,
479,I,A,3,60,0.448219894,Field Ant,3,none,1,11,
304,W,G,7,60,0.473131035,Field Ant,3,aphid,1,12,
257,F,A,1,60,0.482111702,Field Ant,3,aphid,1,13,
402,W,H,4,60,0.497354656,Field Ant,3,none,1,14,
294,U,C,7,60,0.498622715,Field Ant,3,aphid,1,15,
257,F,D,2,60,0.513792949,Field Ant,3,none,1,16,
294,U,C,1,60,0.523505499,Field Ant,3,none,1,17,
41,J,G,5,60,0.523662925,Field Ant,3,none,1,18,
530,L,C,5,60,0.558825474,Field Ant,3,aphid,1,19,
530,L,I,1,60,0.618702883,Field Ant,3,none,1,20,
487,X,A,1,60,0.33306389,Field Ant,3,aphid,6,21,
487,X,B,2,60,0.358490526,Field Ant,3,none,6,22,
113,T,D,6,60,0.365758686,Field Ant,3,aphid,6,23,
113,T,G,7,60,0.372158997,Field Ant,3,none,6,24,
