Measurement Time,Wind Site,Treatment,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC
9/28/2012 11:58 AM,,,,,,,,,,,
9/28/2012 11:59 AM,,,,,,,,,,,
9/28/2012 12:00 PM,,,,,,,,,,,
9/28/2012 12:01 PM,,,,,,,,,,,
9/28/2012 12:02 PM,,,,,,,,,,,
9/28/2012 12:03 PM,,,,,,,,,,,
9/28/2012 12:04 PM,3,Exposed,0.061,26.0,0.01,0.052,27.0,0.00,0.061,26.0,0.01
9/28/2012 12:05 PM,3,Exposed,0.060,25.8,0.01,0.052,26.8,0.00,0.060,25.6,0.01
9/28/2012 12:06 PM,3,Exposed,0.060,25.5,0.01,0.052,26.5,0.00,0.060,25.3,0.01
9/28/2012 12:07 PM,,,,,,,,,,,
9/28/2012 12:08 PM,,,,,,,,,,,
9/28/2012 12:09 PM,3,Unexposed,0.052,26.0,0.00,0.054,26.3,0.00,0.041,27.0,0.00
9/28/2012 12:10 PM,3,Unexposed,0.050,25.6,0.00,0.055,26.5,0.00,0.041,27.2,0.00
9/28/2012 12:11 PM,3,Unexposed,0.051,25.4,0.00,0.055,26.7,0.00,0.041,27.4,0.00
9/28/2012 12:12 PM,,,,,,,,,,,
9/28/2012 12:13 PM,,,,,,,,,,,
9/28/2012 12:14 PM,,,,,,,,,,,
9/28/2012 12:15 PM,,,,,,,,,,,
9/28/2012 12:16 PM,,,,,,,,,,,
9/28/2012 12:17 PM,,,,,,,,,,,
9/28/2012 12:18 PM,5,Exposed,0.043,29.5,0.00,0.055,26.6,0.00,0.050,26.9,1.13
9/28/2012 12:19 PM,5,Exposed,0.043,28.7,0.00,0.055,25.9,0.00,0.050,26.4,1.30
9/28/2012 12:20 PM,5,Exposed,0.043,28.4,0.00,0.054,25.5,0.00,0.050,25.9,1.32
9/28/2012 12:21 PM,5,Exposed,0.043,28.0,0.00,0.054,25.2,0.00,0.050,25.6,1.48
9/28/2012 12:22 PM,,,,,,,,,,,
9/28/2012 12:23 PM,,,,,,0.058,25.2,0.01,0.084,27.1,0.01
9/28/2012 12:24 PM,,,,,,0.058,25.6,0.01,0.084,27.0,0.01
9/28/2012 12:25 PM,5,Unexposed,0.111,25.7,0.07,0.055,25.8,0.01,0.085,26.9,0.01
9/28/2012 12:26 PM,5,Unexposed,0.112,25.9,0.08,0.055,26.0,0.01,0.085,26.8,0.01
9/28/2012 12:27 PM,,,,,,,,,,,
9/28/2012 12:28 PM,,,,,,,,,,,
9/28/2012 12:29 PM,,,,,,,,,,,
9/28/2012 12:30 PM,,,,,,,,,,,
9/28/2012 12:31 PM,,,,,,,,,,,
9/28/2012 12:32 PM,,,,,,,,,,,
9/28/2012 12:33 PM,,,,,,,,,,,
9/28/2012 12:34 PM,,,,,,,,,,,
9/28/2012 12:35 PM,,,,,,,,,,,
9/28/2012 12:36 PM,6,Unexposed,0.089,27.3,0.01,,,,,,
9/28/2012 12:37 PM,6,Unexposed,0.086,27.8,0.02,0.032,26.8,0.00,0.033,27.0,0.00
9/28/2012 12:38 PM,6,Unexposed,0.087,28.0,0.02,0.032,27.2,0.00,0.033,27.2,0.00
9/28/2012 12:39 PM,6,Unexposed,0.086,28.2,0.02,0.032,27.5,0.00,0.033,27.4,0.00
9/28/2012 12:40 PM,,,,,,,,,,,
9/28/2012 12:41 PM,6,Exposed,0.036,26.4,0.00,0.044,27.3,0.00,0.047,27.3,0.00
9/28/2012 12:42 PM,6,Exposed,0.039,26.5,0.00,0.044,27.3,0.00,0.048,27.7,0.00
9/28/2012 12:43 PM,6,Exposed,0.038,26.6,0.00,0.045,27.3,0.00,0.048,28.2,0.00
9/28/2012 12:44 PM,6,Exposed,0.038,26.7,0.00,0.046,27.2,0.00,0.049,28.5,0.00
9/28/2012 12:45 PM,6,Exposed,0.040,26.9,0.00,0.046,27.2,0.00,0.047,28.8,0.00
9/28/2012 12:46 PM,,,,,,,,,,,
9/28/2012 12:47 PM,,,,,,,,,,,
9/28/2012 12:48 PM,,,,,,,,,,,
9/28/2012 12:49 PM,,,,,,,,,,,
9/28/2012 12:50 PM,,,,,,,,,,,
9/28/2012 12:51 PM,10,Exposed,0.080,28.1,0.03,0.073,27.5,0.01,0.057,28.5,0.00
9/28/2012 12:52 PM,10,Exposed,0.084,28.2,0.03,0.072,27.7,0.01,0.056,28.3,0.00
9/28/2012 12:53 PM,10,Exposed,0.083,28.3,0.03,0.072,27.9,0.01,0.056,28.2,0.01
9/28/2012 12:54 PM,,,,,,,,,,,
9/28/2012 12:55 PM,,,,,,,,,,,
9/28/2012 12:56 PM,10,Unexposed,0.202,27.8,0.20,0.032,28.6,0.00,0.090,27.6,0.01
9/28/2012 12:57 PM,10,Unexposed,0.205,27.7,0.20,0.033,28.9,0.00,0.096,28.0,0.01
9/28/2012 12:58 PM,10,Unexposed,0.204,27.6,0.21,0.033,29.1,0.00,0.096,28.2,0.01
9/28/2012 12:59 PM,,,,,,,,,,,
9/28/2012 1:00 PM,,,,,,,,,,,
9/28/2012 1:01 PM,,,,,,,,,,,
9/28/2012 1:02 PM,,,,,,,,,,,
9/28/2012 1:03 PM,,,,,,,,,,,
9/28/2012 1:04 PM,,,,,,,,,,,
9/28/2012 1:05 PM,,,,,,,,,,,
9/28/2012 1:06 PM,7,Exposed,0.040,26.6,0.00,0.025,27.0,0.00,0.033,27.8,0.00
9/28/2012 1:07 PM,7,Exposed,0.039,26.8,0.00,0.025,27.9,0.00,0.033,28.7,0.00
9/28/2012 1:08 PM,7,Exposed,0.041,26.8,0.00,0.026,28.5,0.00,0.034,29.2,0.00
9/28/2012 1:09 PM,,,,,,,,,,,
9/28/2012 1:10 PM,,,,,,,,,,,
9/28/2012 1:11 PM,7,Unexposed,0.083,27.1,0.07,0.093,28.4,0.06,0.109,28.3,0.08
9/28/2012 1:12 PM,7,Unexposed,0.078,27.4,0.07,0.091,28.3,0.05,0.106,28.5,0.07
9/28/2012 1:13 PM,7,Unexposed,0.079,27.6,0.07,0.092,28.3,0.05,0.107,28.6,0.08
9/28/2012 1:14 PM,7,Unexposed,0.080,27.7,0.07,0.092,28.2,0.05,0.107,28.7,0.08
9/28/2012 1:15 PM,,,,,,,,,,,
9/28/2012 1:16 PM,,,,,,,,,,,
9/28/2012 1:17 PM,,,,,,,,,,,
9/28/2012 1:18 PM,,,,,,,,,,,
9/28/2012 1:19 PM,,,,,,,,,,,
9/28/2012 1:20 PM,8,Exposed,0.056,29.5,0.01,0.055,30.4,0.00,0.052,31.4,0.00
9/28/2012 1:21 PM,8,Exposed,0.056,29.5,0.01,0.055,30.1,0.00,0.051,31.4,0.00
9/28/2012 1:22 PM,8,Exposed,0.055,29.3,0.01,,,,,,
9/28/2012 1:23 PM,,,,,,,,,,,
9/28/2012 1:24 PM,8,Unexposed,0.105,29.8,0.01,0.112,27.7,0.02,0.063,29.1,0.01
9/28/2012 1:25 PM,8,Unexposed,0.104,29.7,0.01,0.109,27.5,0.03,0.066,29.2,0.01
9/28/2012 1:26 PM,8,Unexposed,0.105,29.5,0.01,0.109,27.3,0.02,0.067,29.4,0.01
9/28/2012 1:27 PM,8,Unexposed,0.105,29.4,0.01,0.109,27.2,0.02,0.067,29.4,0.01
9/28/2012 1:28 PM,,,,,,,,,,,
9/28/2012 1:29 PM,,,,,,,,,,,
9/28/2012 1:30 PM,,,,,,,,,,,
9/28/2012 1:31 PM,,,,,,,,,,,
9/28/2012 1:32 PM,,,,,,,,,,,
9/28/2012 1:33 PM,9,Unexposed,0.220,22.8,0.30,0.202,23.8,0.20,0.207,24.2,0.31
9/28/2012 1:34 PM,9,Unexposed,0.220,23.0,0.30,0.203,23.7,0.20,0.208,24.6,0.31
9/28/2012 1:35 PM,9,Unexposed,0.221,23.1,0.30,0.202,23.7,0.21,0.209,24.9,0.30
9/28/2012 1:36 PM,9,Unexposed,0.220,23.3,0.30,0.204,23.5,0.20,0.210,25.1,0.30
9/28/2012 1:37 PM,9,Unexposed,0.221,23.4,0.30,0.202,23.5,0.20,0.209,25.3,0.30
9/28/2012 1:38 PM,,,,,,,,,,,
9/28/2012 1:39 PM,9,Exposed,0.036,25.4,0.00,0.034,25.4,0.00,0.040,27.5,0.00
9/28/2012 1:40 PM,9,Exposed,0.038,26.9,0.00,0.036,26.3,0.00,0.040,28.8,0.00
9/28/2012 1:41 PM,9,Exposed,0.039,27.7,0.00,0.039,26.9,0.00,0.042,29.7,0.00
9/28/2012 1:42 PM,9,Exposed,0.039,28.5,0.00,0.038,27.4,0.00,0.042,30.3,0.00
9/28/2012 1:43 PM
9/28/2012 1:44 PM
9/28/2012 1:45 PM
9/28/2012 1:46 PM
9/28/2012 1:47 PM
9/28/2012 1:48 PM
9/28/2012 1:49 PM
9/28/2012 1:50 PM
9/28/2012 1:51 PM
9/28/2012 1:52 PM
9/28/2012 1:53 PM
9/28/2012 1:54 PM
9/28/2012 1:55 PM
9/28/2012 1:56 PM
9/28/2012 1:57 PM
9/28/2012 1:58 PM
9/28/2012 1:59 PM
9/28/2012 2:00 PM
9/28/2012 2:01 PM
9/28/2012 2:02 PM
9/28/2012 2:03 PM
9/28/2012 2:04 PM
9/28/2012 2:05 PM
9/28/2012 2:06 PM
9/28/2012 2:07 PM
9/28/2012 2:08 PM
9/28/2012 2:09 PM
9/28/2012 2:10 PM
9/28/2012 2:11 PM
9/28/2012 2:12 PM
9/28/2012 2:13 PM
9/28/2012 2:14 PM
9/28/2012 2:15 PM
9/28/2012 2:16 PM
9/28/2012 2:17 PM
9/28/2012 2:18 PM
9/28/2012 2:19 PM
9/28/2012 2:20 PM
9/28/2012 2:21 PM
9/28/2012 2:22 PM
9/28/2012 2:23 PM
9/28/2012 2:24 PM
9/28/2012 2:25 PM
9/28/2012 2:26 PM
9/28/2012 2:27 PM
9/28/2012 2:28 PM
9/28/2012 2:29 PM
9/28/2012 2:30 PM
9/28/2012 2:31 PM
9/28/2012 2:32 PM
9/28/2012 2:33 PM
9/28/2012 2:34 PM
9/28/2012 2:35 PM
9/28/2012 2:36 PM
9/28/2012 2:37 PM
9/28/2012 2:38 PM
9/28/2012 2:39 PM
9/28/2012 2:40 PM
9/28/2012 2:41 PM
9/28/2012 2:42 PM
9/28/2012 2:43 PM
9/28/2012 2:44 PM
9/28/2012 2:45 PM
9/28/2012 2:46 PM
9/28/2012 2:47 PM
9/28/2012 2:48 PM
9/28/2012 2:49 PM
9/28/2012 2:50 PM
9/28/2012 2:51 PM
9/28/2012 2:52 PM
9/28/2012 2:53 PM
9/28/2012 2:54 PM
9/28/2012 2:55 PM
9/28/2012 2:56 PM
9/28/2012 2:57 PM
9/28/2012 2:58 PM
9/28/2012 2:59 PM
9/28/2012 3:00 PM
9/28/2012 3:01 PM
9/28/2012 3:02 PM
9/28/2012 3:03 PM
9/28/2012 3:04 PM
9/28/2012 3:05 PM
9/28/2012 3:06 PM
9/28/2012 3:07 PM
9/28/2012 3:08 PM
9/28/2012 3:09 PM
9/28/2012 3:10 PM
9/28/2012 3:11 PM
9/28/2012 3:12 PM
9/28/2012 3:13 PM
