batch.no,Block,treatment,position,plant.code,plant.code,,,dry.wt.g,plant.code.unsure,notes
2,4,exp,10,4.00E+10,4.00E+10,,,0.0257,,
2,4,exp,3,4.00E+03,4.00E+03,,,0.023,,
2,,unexp,,6u2,6,2,,0.0175,,
2,,unexp,,10u1,10,1,,0.01,,
2,,unexp,,5u1,5,1,,0.0263,,
2,9,exp,10,9.00E+10,9.00E+10,,,0.0217,,
2,,unexp,,5u8,5,8,,0.0254,,
2,,unexp,,5u10,5,10,,0.0182,,
2,,unexp,,5u5,5,5,,0.0331,,
2,,unexp,,10u3,10,3,,0.0082,,
2,,unexp,,7u8,7,8,,0.0254,,
2,7,exp,3,7.00E+03,7.00E+03,,,0.0236,,
2,1,exp,,1.00E+11,1.00E+11,,,0.0101,,
2,,unexp,,6u9,6,9,,0.0179,,
2,,unexp,,7u9,7,9,,0.004,1,difficult to read code on leaf
2,,unexp,,10u2,10,2,,0.0178,,
2,,unexp,,10u9,10,9,,0.014,1,difficult to read code on leaf
2,,unexp,,7u6,7,6,,0.0213,,
2,4,exp,8,4.00E+08,4.00E+08,,,0.0215,,
,2,exp,3,2.00E+03,2.00E+03,,,0.0125,,
,,unexp,,10u10,10,10,,0.0064,,
,9,exp,3,9.00E+03,9.00E+03,,,0.0046,,
,7,exp,9,7.00E+09,7.00E+09,,,0.003,,
,5,exp,2,5.00E+02,5.00E+02,,,0.0086,,
,9,exp,6,9.00E+06,9.00E+06,,,0.011,,
,,unexp,,4u4,4,4,,0.0043,,
,1,exp,4,1.00E+04,1.00E+04,,,0.0045,,
,6,exp,2,6.00E+02,6.00E+02,,,0.0101,,
,8,exp,4,8.00E+04,8.00E+04,,,0.0012,,
,1,exp,6,1.00E+06,1.00E+06,,,0.003,,
,,unexp,,7u2,7,2,,0.0053,,
,9,exp,5,9.00E+05,9.00E+05,,,0.0041,,
,,unexp,,6u8,6,8,,0.0044,,
,,unexp,,7u10,7,10,,0.004,,
5,7,exp,5,7.00E+05,7.00E+05,,,0.0084,,
5,,unexp,,9u5,9,5,,0.0099,,
5,,unexp,,4u2,4,2,,0.0233,,
5,,unexp,,4u9,4,9,,0.0086,,
5,5,exp,3,5.00E+03,5.00E+03,,,0.0148,,
5,,unexp,,3u4,3,4,,0.0194,,
5,,unexp,,6u4,6,4,,0.0143,,
5,,unexp,,9u3,9,3,,0.009,,
5,5,exp,9,5.00E+09,5.00E+09,,,0.0079,,
5,8,exp,3,8.00E+03,8.00E+03,,,0.0146,,
5,7,exp,7,7.00E+07,7.00E+07,,,0.0129,,
