"# data enetered by Arezoo on Nov 18, 2013",,,,
block,treatment,position,collection.leaf.wt.g,notes
9,u,8,0.083,w/petiole 0.89
8,u,8,0.039,w/petiole 0.042
8,u,7,0.03,w/petiole.030
8,u,5,0.04,w/petiole.040
8,u,4,0.072,w/petiole0.072
8,u,10,0.049,
8,u,6,0.099,
7,u,3,0.065,
7,u,2,0.014,
7,u,1,0.045,
10,e,10,0.117,
10,e,9,0.04,
10,e,6,0.017,
7,u,5,0.09,
7,u,7,0.097
10,e,5,0.01
10,e,3,0.017
9,e,5,0.011
8,u,9,0.037
7,e,1,0.09
7,e,4,0.069
9,u,9,0.019
10,u,7,0.01
4,u,8,0.048
8,e,4,0.005
8,e,8,0.025
8,e,7,0.08
8,e,5,0.072
8,e,2,0.072
7,e,9,0.007
5,u,9,0.011
9,e,1,0.085
8,e,9,0.047
5,u,7,0.018
9,u,1,0.052
7,e,2,0.02
9,u,4,0.082
10,u,8,0.019
9,u,10,0.11
9,u,2,0.073
7,e,3,0.063
10,u,9,0.041
9,e,9,0.037
5,u,10,0.044
10,e,2,0.126
5,u,1,0.067
3,e,8,0.082
3,e,5,0.104
4,e,9,0.103
4,e,8,0.053
7,u,8,0.068
5,e,8,0.078
6,u,2,0.046
5,u,8,0.076
10,u,1,0.039
7,u,10,0.015
9,e,10,0.062
5,u,5,0.1
10,u,3,0.024
6,u,9,0.045
4,u,3,0.082
10,e,1,0.029
2,e,2,0.074,
7,u,6,0.055,
5,u,6,0.032,
5,u,4,0.071,
7,u,9,0.013,
5,e,2,0.022,
4,u,10,0.074,
10,u,2,0.046,weighted before without pen marking. It adds weight
5,e,5,0.071,
4,e,3,0.057,
9,e,3,0.017,
4,u,7,0.028,
4,u,5,0.023,
9,e,8,0.037,
9,u,7,0.033,
2,e,9,0.089,
8,u,3,0.033,
9,e,6,0.033,5% herbivory
2,u,5,0.159,
5,e,6,0.059,
4,u,4,0.017,
2,u,8,0.1,
2,u,2,0.076,
4,e,1,0.044,
6,e,7,0.078,
6,e,6,0.083,
4,e,5,0.039,
4,e,6,0.032,
6,e,4,0.027,
2,u,7,0.145,
5,u,2,0.029,
6,u,5,0.062,
6,e,1,0.059,
2,u,4,0.118,
2,u,3,0.085,
1,u,4,0.072,
2,e,7,0.119,
6,u,1,0.033,
4,e,7,0.176,
6,e,5,0.029,
6,e,2,0.027,
2,e,4,0.108,
10,u,5,0.044,
2,e,3,0.0035,
10,u,10,0.018,small but only leaf available
3,u,10,0.055,
2,e,5,0.169,
4,u,9,0.029,
9,u,5,0.027
7,e,8,0.058
7,e,7,0.038
7,e,5,0.032
8,e,3,0.041
2,e,8,0.237
2,e,1,0.155
1,u,2,0.151
1,u,3,0.039
1,u,7,0.051
3,u,1,0.125
3,u,6,0.14
3,e,4,0.064
3,e,2,0.035
5,e,1,0.112
1,u,8,0.11
8,u,1,0.139,
8,u,2,0.02,
1,u,1,0.132,
1,e,4,0.066,
2,u,8,0.104,
1,u,5,0.166,
6,u,4,0.04,
9,u,6,0.0072,
1,e,5,0.162,%5 herbivory
1,e,6,0.133,
3,u,2,0.063,
5,e,9,0.02,
8,e,10,0.07,
3,u,4,0.047,
1,e,7,0.083,
1,e,9,0.119,
2,u,10,0.105
1,e,10,0.162
1,e,2,0.072
1,e,1,0.051
1,e,3,0.13
3,e,6,0.125
1,u,9,0.116
9,u,3,0.027
1,u,10,0.129
5,e,3,0.038
3,e,10,0.16
3,e,1,0.091
6,u,8,0.012
1,u,6,0.048
10,u,4,0.051
3,u,3,0.075
4,u,1,0.06
3,u,9,0.073
4,u,2,0.061
3,e,3,0.066
8,e,1,0.059
