"","year","block","treatment","genotype","plant.id","response"
"143","2012","8","Exposed","S","8E4",32
"144","2012","8","Exposed","T","8E5",36.5
"145","2012","8","Exposed","U","8E6",NA
"146","2012","8","Exposed","L","8E7",33
"147","2012","8","Exposed","I","8E8",28.5
"148","2012","8","Exposed","X","8E9",20.5
"149","2012","8","Exposed","G","8E10",9
"150","2012","8","Unexposed","W","8U1",37
"151","2012","8","Unexposed","J","8U2",31
"152","2012","8","Unexposed","F","8U3",29
"153","2012","8","Unexposed","L","8U4",37.5
"154","2012","8","Unexposed","T","8U5",35
"155","2012","8","Unexposed","G","8U6",25
"156","2012","8","Unexposed","U","8U7",31
"157","2012","8","Unexposed","S","8U8",31.5
"158","2012","8","Unexposed","I","8U9",22
"159","2012","8","Unexposed","X","8U10",36.5
"160","2012","9","Exposed","W","9E1",29
"161","2012","9","Exposed","J","9E2",32
"162","2012","9","Exposed","F","9E3",29
"163","2012","9","Exposed","L","9E4",11.5
"164","2012","9","Exposed","G","9E5",10
"165","2012","9","Exposed","T","9E6",33
"166","2012","9","Exposed","I","9E7",27.5
"167","2012","9","Exposed","X","9E8",32.5
"168","2012","9","Exposed","S","9E9",18.5
"169","2012","9","Exposed","U","9E10",29
"170","2012","9","Unexposed","J","9U1",27.5
"171","2012","9","Unexposed","W","9U2",37.5
"172","2012","9","Unexposed","F","9U3",29
"173","2012","9","Unexposed","L","9U4",34
"174","2012","9","Unexposed","G","9U5",29
"175","2012","9","Unexposed","T","9U6",36
"176","2012","9","Unexposed","S","9U7",33.5
"177","2012","9","Unexposed","X","9U8",32.5
"178","2012","9","Unexposed","I","9U9",35.5
"179","2012","9","Unexposed","U","9U10",29
"180","2012","10","Exposed","J","10E1",10.5
"181","2012","10","Exposed","W","10E2",31.5
"182","2012","10","Exposed","F","10E3",23
"183","2012","10","Exposed","G","10E4",15
"184","2012","10","Exposed","T","10E5",32
"185","2012","10","Exposed","I","10E6",29.5
"186","2012","10","Exposed","L","10E7",28.5
"187","2012","10","Exposed","S","10E8",6
"188","2012","10","Exposed","U","10E9",35
"189","2012","10","Exposed","X","10E10",32.5
"190","2012","10","Unexposed","J","10U1",34.5
"191","2012","10","Unexposed","W","10U2",36.5
"192","2012","10","Unexposed","F","10U3",26
"193","2012","10","Unexposed","G","10U4",25
"194","2012","10","Unexposed","T","10U5",37
"195","2012","10","Unexposed","I","10U6",31.5
"196","2012","10","Unexposed","L","10U7",33
"197","2012","10","Unexposed","S","10U8",38
"198","2012","10","Unexposed","U","10U9",33
"199","2012","10","Unexposed","X","10U10",33
"200","2013","1","Exposed","I","1E1",13
"201","2013","1","Exposed","W","1E2",29
"202","2013","1","Exposed","F","1E3",19
"203","2013","1","Exposed","L","1E4",12
"204","2013","1","Exposed","T","1E5",23.5
"205","2013","1","Exposed","X","1E6",16
"206","2013","1","Exposed","J","1E7",14
"207","2013","1","Exposed","S","1E8",NA
"208","2013","1","Exposed","U","1E9",26
"209","2013","1","Exposed","G","1E10",17.5
"210","2013","1","Unexposed","W","1U1",37
"211","2013","1","Unexposed","F","1U2",31
"212","2013","1","Unexposed","I","1U3",24.5
"213","2013","1","Unexposed","L","1U4",30.5
"214","2013","1","Unexposed","T","1U5",45.5
"215","2013","1","Unexposed","X","1U6",36
"216","2013","1","Unexposed","S","1U7",40
"217","2013","1","Unexposed","U","1U8",36
"218","2013","1","Unexposed","J","1U9",35
"219","2013","1","Unexposed","G","1U10",17
"220","2013","2","Exposed","W","2E1",18
"221","2013","2","Exposed","F","2E2",21
"222","2013","2","Exposed","I","2E3",8.5
"223","2013","2","Exposed","L","2E4",27
"224","2013","2","Exposed","T","2E5",31
"225","2013","2","Exposed","X","2E6",NA
"226","2013","2","Exposed","S","2E7",30
"227","2013","2","Exposed","U","2E8",44.5
"228","2013","2","Exposed","J","2E9",25.5
"229","2013","2","Exposed","G","2E10",NA
"230","2013","2","Unexposed","W","2U1",NA
"231","2013","2","Unexposed","I","2U2",28
"232","2013","2","Unexposed","F","2U3",31
"233","2013","2","Unexposed","L","2U4",26
"234","2013","2","Unexposed","X","2U5",38
"235","2013","2","Unexposed","S","2U6",NA
"236","2013","2","Unexposed","U","2U7",26
"237","2013","2","Unexposed","T","2U8",18
"238","2013","2","Unexposed","J","2U9",NA
"239","2013","2","Unexposed","G","2U10",12.5
"240","2013","3","Exposed","W","3E1",11
"241","2013","3","Exposed","F","3E2",10
"242","2013","3","Exposed","L","3E3",11
"243","2013","3","Exposed","I","3E4",11.5
"244","2013","3","Exposed","U","3E5",11
"245","2013","3","Exposed","X","3E6",13
"246","2013","3","Exposed","S","3E7",NA
"247","2013","3","Exposed","J","3E8",9.5
"248","2013","3","Exposed","T","3E9",NA
"249","2013","3","Exposed","G","3E10",10
"250","2013","3","Unexposed","W","3U1",31
"251","2013","3","Unexposed","F","3U2",20
"252","2013","3","Unexposed","L","3U3",10
"253","2013","3","Unexposed","I","3U4",4
"254","2013","3","Unexposed","S","3U5",NA
"255","2013","3","Unexposed","U","3U6",29.5
"256","2013","3","Unexposed","X","3U7",32
"257","2013","3","Unexposed","J","3U8",NA
"258","2013","3","Unexposed","T","3U9",44
"259","2013","3","Unexposed","G","3U10",6
"260","2013","4","Exposed","W","4E1",5
"261","2013","4","Exposed","F","4E2",9
"262","2013","4","Exposed","L","4E3",4
"263","2013","4","Exposed","S","4E4",NA
"264","2013","4","Exposed","I","4E5",16
"265","2013","4","Exposed","J","4E6",12
"266","2013","4","Exposed","X","4E7",13.5
"267","2013","4","Exposed","U","4E8",9
"268","2013","4","Exposed","T","4E9",14
"269","2013","4","Exposed","G","4E10",NA
"270","2013","4","Unexposed","F","4U1",29
"271","2013","4","Unexposed","W","4U2",42
"272","2013","4","Unexposed","L","4U3",11.5
"273","2013","4","Unexposed","J","4U4",3
"274","2013","4","Unexposed","I","4U5",29
"275","2013","4","Unexposed","X","4U6",NA
"276","2013","4","Unexposed","U","4U7",3
"277","2013","4","Unexposed","T","4U8",9
"278","2013","4","Unexposed","S","4U9",6
"279","2013","4","Unexposed","G","4U10",7.5
"280","2013","5","Exposed","W","5E1",14
"281","2013","5","Exposed","F","5E2",10.5
"282","2013","5","Exposed","L","5E3",6
"283","2013","5","Exposed","U","5E4",NA
"284","2013","5","Exposed","X","5E5",5
"285","2013","5","Exposed","J","5E6",12.5
"286","2013","5","Exposed","S","5E7",NA
"287","2013","5","Exposed","T","5E8",11
"288","2013","5","Exposed","I","5E9",4.5
"289","2013","5","Exposed","G","5E10",NA
"290","2013","5","Unexposed","W","5U1",36
"291","2013","5","Unexposed","F","5U2",28
"292","2013","5","Unexposed","U","5U3",NA
"293","2013","5","Unexposed","J","5U4",10
"294","2013","5","Unexposed","X","5U5",33.5
"295","2013","5","Unexposed","L","5U6",25
"296","2013","5","Unexposed","S","5U7",29
"297","2013","5","Unexposed","T","5U8",22
"298","2013","5","Unexposed","I","5U9",3
"299","2013","5","Unexposed","G","5U10",8.5
"300","2013","6","Exposed","W","6E1",15.5
"301","2013","6","Exposed","F","6E2",7
"302","2013","6","Exposed","L","6E3",NA
"303","2013","6","Exposed","J","6E4",3.5
"304","2013","6","Exposed","U","6E5",5
"305","2013","6","Exposed","X","6E6",8.5
"306","2013","6","Exposed","T","6E7",9.5
"307","2013","6","Exposed","S","6E8",NA
"308","2013","6","Exposed","I","6E9",NA
"309","2013","6","Exposed","G","6E10",NA
"310","2013","6","Unexposed","F","6U1",5
"311","2013","6","Unexposed","W","6U2",31.5
"312","2013","6","Unexposed","U","6U3",NA
"313","2013","6","Unexposed","J","6U4",8
"314","2013","6","Unexposed","L","6U5",8
"315","2013","6","Unexposed","T","6U6",NA
"316","2013","6","Unexposed","X","6U7",NA
"317","2013","6","Unexposed","S","6U8",8
"318","2013","6","Unexposed","I","6U9",11
"319","2013","6","Unexposed","G","6U10",NA
"320","2013","7","Exposed","W","7E1",9
"321","2013","7","Exposed","F","7E2",9
"322","2013","7","Exposed","U","7E3",19.5
"323","2013","7","Exposed","L","7E4",14
"324","2013","7","Exposed","J","7E5",2
"325","2013","7","Exposed","S","7E6",NA
"326","2013","7","Exposed","T","7E7",7.5
"327","2013","7","Exposed","X","7E8",15.5
"328","2013","7","Exposed","I","7E9",5
"329","2013","7","Exposed","G","7E10",NA
"330","2013","7","Unexposed","W","7U1",37
"331","2013","7","Unexposed","F","7U2",20.5
"332","2013","7","Unexposed","J","7U3",39
"333","2013","7","Unexposed","S","7U4",NA
"334","2013","7","Unexposed","L","7U5",10.5
"335","2013","7","Unexposed","U","7U6",9.5
"336","2013","7","Unexposed","T","7U7",13
"337","2013","7","Unexposed","X","7U8",10
"338","2013","7","Unexposed","I","7U9",11.5
"339","2013","7","Unexposed","G","7U10",17
"340","2013","8","Exposed","F","8E1",14
"341","2013","8","Exposed","W","8E2",14.5
"342","2013","8","Exposed","J","8E3",6
"343","2013","8","Exposed","S","8E4",11
"344","2013","8","Exposed","T","8E5",6.5
"345","2013","8","Exposed","U","8E6",NA
"346","2013","8","Exposed","L","8E7",14
"347","2013","8","Exposed","I","8E8",7
"348","2013","8","Exposed","X","8E9",4.5
"349","2013","8","Exposed","G","8E10",11
"350","2013","8","Unexposed","W","8U1",38
"351","2013","8","Unexposed","J","8U2",21
"352","2013","8","Unexposed","F","8U3",27
"353","2013","8","Unexposed","L","8U4",30
"354","2013","8","Unexposed","T","8U5",37
"355","2013","8","Unexposed","G","8U6",27.5
"356","2013","8","Unexposed","U","8U7",19.5
"357","2013","8","Unexposed","S","8U8",12
"358","2013","8","Unexposed","I","8U9",11
"359","2013","8","Unexposed","X","8U10",6
"360","2013","9","Exposed","W","9E1",10
"361","2013","9","Exposed","J","9E2",NA
"362","2013","9","Exposed","F","9E3",8.5
"363","2013","9","Exposed","L","9E4",NA
"364","2013","9","Exposed","G","9E5",1.5
"365","2013","9","Exposed","T","9E6",4
"366","2013","9","Exposed","I","9E7",NA
"367","2013","9","Exposed","X","9E8",2.5
"368","2013","9","Exposed","S","9E9",4
"369","2013","9","Exposed","U","9E10",5.5
"370","2013","9","Unexposed","J","9U1",30
"371","2013","9","Unexposed","W","9U2",41.5
"372","2013","9","Unexposed","F","9U3",29
"373","2013","9","Unexposed","L","9U4",35
"374","2013","9","Unexposed","G","9U5",16
"375","2013","9","Unexposed","T","9U6",36
"376","2013","9","Unexposed","S","9U7",33.5
"377","2013","9","Unexposed","X","9U8",35
"378","2013","9","Unexposed","I","9U9",39
"379","2013","9","Unexposed","U","9U10",35
"380","2013","10","Exposed","J","10E1",3
"381","2013","10","Exposed","W","10E2",10.5
"382","2013","10","Exposed","F","10E3",5
"383","2013","10","Exposed","G","10E4",NA
"384","2013","10","Exposed","T","10E5",8
"385","2013","10","Exposed","I","10E6",5
"386","2013","10","Exposed","L","10E7",NA
"387","2013","10","Exposed","S","10E8",NA
"388","2013","10","Exposed","U","10E9",4
"389","2013","10","Exposed","X","10E10",31.5
"390","2013","10","Unexposed","J","10U1",34
"391","2013","10","Unexposed","W","10U2",35.5
"392","2013","10","Unexposed","F","10U3",3
"393","2013","10","Unexposed","G","10U4",3.5
"394","2013","10","Unexposed","T","10U5",6
"395","2013","10","Unexposed","I","10U6",25.5
"396","2013","10","Unexposed","L","10U7",9
"397","2013","10","Unexposed","S","10U8",32
"398","2013","10","Unexposed","U","10U9",12.5
"399","2013","10","Unexposed","X","10U10",30.5
