"","X10EF3","X10EI6","X10EJ1","X10ET5","X10EU9","X10EW2","X10EX10","X10UF3","X10UG4","X10UI6","X10UJ1","X10UL7","X10US8","X10UU9","X10UW2","X10UX10","X1EF2","X1EG10","X1EI1","X1EJ7","X1EL4","X1ET5","X1EU9","X1EW2","X1EX6","X1UF2","X1UG10","X1UI3","X1UI4","X1UJ9","X1UM1","X1US7","X1UT5","X1UX6","X2EF2","X2EI3","X2EJ9","X2EL4","X2ES7","X2ET5","X2EU8","X2UF3","X2UG10","X2UI2","X2UL4","X2UT8","X2UU7","X2UX5","X3EF2","X3EJ8","X3EU5","X3EX6","X3E","X3UG10","X3UL3","X3UL4","X3UT9","X3UU6","X3UW1","X4EF2","X4EI5","X4EL3","X4ET9","X4EU8","X4EW1","X4EX7","X4UF1","X4UG10","X4UI5","X4UL3","X4US9","X4UU7","X4UW2","X5EF2","X5EJ6","X5EM1","X5ET8","X5EX5","X5UF2","X5UJ4","X5UL6","X5US7","X5UW1","X6EJ4","X6UF1","X6UI9","X6UJ4","X6UL5","X6US8","X6UW2","X7EF2","X7EI9","X7EJ5","X7EL4","X7ET7","X7EU3","X7EX8","X7UF2","X7UG10","X7UI9","X7UJ3","X7UL5","X7UT7","X7UU6","X7UW1","X8EG10","X8EI8","X8EJ3","X8EL7","X8ES4","X8ET5","X8EX9","X8UF3","X8UI9","X8UJ2","X8UL4","X8US8","X8UT5","X8UU7","X8UW1","X8UX10","X9EF3","X9EG5","X9ES9","X9EU10","X9EX8","X9UF3","X9UG5","X9UJ1","X9UL4","X9US7","X9UT6","X9UU10"
"Euryarchaeota",0,1,0,8,12,2,63,27,13,23,4,6,10,61,18,2,7,5,1,0,2,4,1,7,5,1,4,9,0,2,2,2,7,2,6,3,12,2,6,2,4,1,0,0,3,3,3,1,2,4,3,1,0,1,0,0,11,0,0,21,15,14,0,15,52,2,0,0,1,0,0,7,0,0,0,2,0,1,0,2,5,6,2,0,4,6,0,2,3,6,0,0,6,1,7,3,4,14,6,5,10,2,4,18,21,2,1,6,6,4,4,5,3,5,1,3,19,11,8,6,18,0,0,8,6,0,10,10,12,3,94,11,7
"Elusimicrobia",8,2,6,12,19,6,71,23,3,14,10,5,8,46,3,3,12,5,6,7,16,3,0,11,22,4,21,11,5,4,12,5,11,3,9,6,14,5,12,5,0,3,5,8,2,10,8,1,2,0,1,0,1,6,0,3,4,5,9,7,3,20,7,7,47,2,2,1,6,6,3,2,8,4,0,2,10,1,6,4,22,21,8,14,7,42,15,3,14,7,1,4,4,4,16,0,7,8,5,19,4,2,14,1,10,7,0,11,11,8,10,5,9,16,2,5,10,7,6,3,9,4,3,25,15,3,3,2,11,23,11,5,12
"Acidobacteria",1154,793,1166,850,1477,566,4459,1373,313,333,463,694,717,3397,510,255,526,560,428,508,1154,421,497,1082,777,607,5163,633,546,942,392,437,280,491,995,694,509,611,494,839,409,640,487,434,906,618,1527,1144,388,635,358,345,588,568,564,238,349,692,395,498,588,661,526,643,929,390,412,925,652,590,623,655,568,678,468,798,396,369,404,261,865,606,470,818,993,1869,1061,1147,1616,858,787,693,1013,1114,513,871,1200,587,706,946,793,410,642,329,483,1179,316,1137,1673,1186,852,633,787,518,384,312,605,510,702,324,657,762,696,1261,1829,549,445,371,366,338,657,168,432
"Chlamydiae",47,11,35,31,66,20,273,86,23,28,15,25,55,250,9,9,44,91,34,34,62,39,38,51,68,34,287,28,31,32,27,28,69,40,35,41,50,36,55,24,17,15,4,11,15,11,17,9,20,22,16,16,19,32,21,16,13,30,32,42,41,16,23,13,44,24,9,13,35,22,23,32,18,27,42,22,14,23,14,20,69,63,19,53,32,46,32,45,98,28,21,42,87,43,25,22,34,35,59,42,30,37,46,24,40,79,20,31,102,31,36,29,46,27,67,19,93,74,36,25,77,28,24,57,90,10,46,57,24,16,75,26,33
"Tenericutes",0,0,2,0,0,0,0,3,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,3,0,0,10,6,1,17,1,0,1,0,0,0,0,0,0,5,0,2,0,0,0,2,0,0,13,0,0,0,0,1,8,0,1,2,0,0,2,0,0,0,0,3,1,0,0,0,0,1,6,1,1,8,1,1,0,0,8,0,0,0,0,0,7,1,1,0,0,18,0,0,0,0,0,0,1,2,7,5,3,1,0,1,0,0,0,3,0,1,2,0,3,11,0,2,6,0,4,2,1,0,1
"WWE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"WS3",8,0,12,4,6,12,12,6,3,0,3,5,5,33,0,0,20,5,10,10,2,19,0,20,31,13,13,6,18,13,8,14,8,10,44,22,8,58,8,11,0,6,8,5,9,4,2,2,0,0,0,0,1,4,0,0,2,0,1,11,5,15,1,12,7,3,3,0,2,7,0,0,5,1,0,0,0,3,0,0,26,8,1,0,0,5,3,0,5,0,6,57,2,23,5,10,62,9,0,3,10,1,3,0,1,1,0,21,6,12,3,4,6,4,1,1,5,2,6,0,4,0,0,1,2,0,8,1,5,7,1,0,0
"TM6",57,7,52,60,116,20,524,78,11,5,28,50,41,272,15,46,32,38,22,29,50,16,11,32,20,43,312,27,27,34,46,33,34,35,36,33,43,23,34,44,10,12,6,24,20,12,14,32,16,25,33,39,28,11,43,8,43,39,34,23,31,25,21,29,41,26,14,30,31,22,110,25,38,43,28,15,35,13,23,11,33,27,26,49,55,94,20,74,120,33,13,28,37,54,33,34,19,48,47,58,77,30,29,25,38,62,6,32,135,38,42,35,54,27,45,21,71,46,65,31,54,25,34,55,105,26,47,55,23,15,124,22,20
"Firmicutes",118,376,98,97,214,93,577,340,127,142,63,99,106,242,127,32,40,79,37,33,66,27,35,83,86,51,973,79,55,51,55,101,115,64,131,82,164,57,237,72,44,59,30,50,61,49,53,17,63,45,49,73,56,38,123,45,30,53,37,48,50,19,42,39,68,68,16,28,47,21,43,40,45,136,86,110,116,173,92,87,33,144,98,78,116,355,222,251,181,231,41,88,162,158,24,49,63,65,137,123,72,54,54,82,63,162,30,64,128,169,66,223,94,58,74,75,143,75,224,81,217,51,101,83,370,64,69,66,57,54,249,73,32
"OD1",4,0,3,6,0,3,16,2,0,0,1,1,2,34,2,0,4,0,8,2,1,1,0,2,4,0,14,3,1,1,2,0,4,3,3,6,10,2,6,7,0,0,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,2,0,6,2,2,0,2,3,0,0,0,0,0,4,0,0,0,4,0,2,0,2,1,2,4,0,0,0,3,0,0,0,0,2,5,4,6,1,0,9,3,4,1,1,3,5,1,6,1,0,1,7,0,3,2,1,3,9,1,3,3,0,0,7,0,0,0,0,2,9,1,4,5,8,0,3
