OTUId,10EF3,10EI6,10EJ1,10ET5,10EU9,10EW2,10EX10,10UF3,10UG4,10UI6,10UJ1,10UL7,10US8,10UT5,10UU9,10UX10,1EF2,1EG10,1EI1,1EJ7,1EL4,1ET5,1EU9,1EW2,1EX6,1UF2,1UG10,1UI3,1UI4,1UJ9,1UM1,1US7,1UT5,1UX6,2EI3,2EJ9,2ES7,2ET5,2EU8,2UG10,2UL4,2UT8,2UU7,2UX5,3EF2,3EJ8,3EU5,3EX6,3E,3UG10,3UL3,3UI4,3UT9,3UU6,3UW1,4EF2,4EI5,4EL3,4ET9,4EU8,4EW1,4EX7,4UF1,4UG10,4UI5,4UL3,4US9,4UT8,4UU7,4UW2,5EF2,5EJ6,5EM1,5ET8,5EX5,5UF2,5UJ4,5UL6,5US7,5UW1,6EJ4,6ET7,6UF1,6UI9,6UL5,6US8,6UW2,7EI9,7EJ5,7EL4,7ET7,7EU3,7EW1,7EX8,7UF2,7UG10,7UI9,7UJ3,7UL5,7UT7,7UU6,7UW1,8EF1,8EG10,8EI8,8EJ3,8EL7,8ES4,8EW2,8EX9,8UF3,8UI9,8UJ2,8US8,8UT5,8UU7,8UW1,8UX10,9EF3,9EG5,9ES9,9EU10,9EW1,9EX8,9UF3,9UG5,9UI9,9UJ1,9UL4,9US7,9UT6,9UU10,9UW2,9UX8
OTU_49,1,2,2,2,48,0,54,98,0,0,5,0,0,0,0,3,7,23,11,250,105,1,1886,53,752,175,29,227,15,531,0,222,43,41,25,8,67,9,146,7,97,108,9,24,0,1,0,6,0,393,38,262,1,13,37,1,0,0,86,15,3,68,63,104,0,23,0,28,4,35,751,19,106,33,19,58,0,20,1,30,277,178,790,103,51,128,131,32,16,2560,40,1,74,332,297,42,1,0,616,1,197,0,15,13,0,154,73,11,35,0,55,0,0,0,0,16,2,0,1,100,27,49,301,34,7,38,0,1,0,25,24,0,0,0
OTU_110,4,2,0,61,21,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,27,4,0,5,0,0,80,0,5,0,6,3,0,5,1,28,17,8,12,0,23,40,31,1,0,21,9,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,18,0,18,332,10,5,20,7,0,0,4,1,3,0,0,182,3,0,0,1,6,0,0,3,0,0,2,0,0,41,270,3,0,111,1,128,0,1,2,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,72,0,26,19,6,1,4,0,93,1,0
OTU_1156,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_62,2,0,0,2,0,0,43,2232,1008,1431,184,240,65,371,1,98,0,0,2,4,64,0,3,0,0,10,39,10,0,20,4,0,0,178,9,9,164,1,114,0,4,10,0,13,2,25,0,4,1,49,14,91,8,0,2,4,111,9,76,6,22,25,78,2,11,0,0,150,23,41,0,0,121,0,0,11,6,3,10,6,1,50,3,0,0,0,0,0,23,34,0,0,0,0,1,17,0,56,0,0,0,0,0,0,39,64,0,0,0,3,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
OTU_1426,3,0,3,4,10,7,5,9,7,10,2,4,7,6,12,8,8,9,11,28,44,9,12,6,11,70,17,54,34,70,24,19,21,17,26,19,14,26,6,22,34,20,40,41,12,6,19,6,6,27,15,6,29,5,7,6,18,109,9,6,9,4,13,6,6,12,4,8,5,20,7,6,5,6,8,10,6,10,3,10,19,10,0,2,4,5,4,11,3,17,24,9,6,157,8,9,1,7,17,8,15,5,17,3,7,20,2,9,4,7,16,1,0,3,9,1,5,10,9,7,5,6,14,10,11,7,1,6,2,14,5,4,16,15
OTU_1034,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0
OTU_1396,3,0,1,0,30,0,0,0,0,0,8,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,24,0,43
OTU_393,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,63,0,1,0,0,0,0,0,0,0,1,1,10,1,0,7,11,0,0,0,0,0,0,0,83,3,0,0,8,0,0,0,18,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
OTU_17,1,0,0,1,0,8,70,0,0,0,1,1,1,0,0,0,2,1,0,1,2,0,0,1,0,1,0,2,2,2,0,2,1,0,0,3,0,0,1,0,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,5,88,0,0,0,0,0,0,0,0,0,1,522,5,1,1901,1,1888,1,0,0,0,0,17840,468,567,0,1,0,0,8579,5898,11146,15507,3764,5036,61277,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
OTU_400,2,4,0,0,0,0,0,5,0,0,2,2,0,1,1,14,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,2,0,0,0,3,0,5,0,0,3,3,3,0,13,0,5,9,6,2,2,0,0,0,0,1,0,0,0,21,1,0,1,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,3,0,6,4,5,0,0
OTU_1607,3,0,0,21,2,0,0,1,0,0,0,24,1,0,2698,3,19,5,0,0,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,30,0,0,0,36,0,0,0,2,69,20,102,13,0,0,0,2,13,0,0,0,0,0,0,1,0,198,5,31,16,15,1,5,15,0,1,0,0,0,0,1,3,23,12,53,0,23,6,0,10,6,0,0,0,213,0,0,360,51,222,4,1193,136,88,0,2459,0,3,1,1366,0,883,4,1,0,778,0,0,0,7918,0,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
OTU_674,1,0,7,2,0,0,0,0,0,0,1,0,36,0,3,0,0,0,0,0,9,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,8,171,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,29,0,1,12,0,3,0,2,2,5,21,1,0,0,4,19,0,0,3,0,0,0,0,0,6,31,0,0,0,4,0,0,1,17,22,0,93,0,4
OTU_185,2,2,0,3,0,1,0,4,0,0,0,1,0,4,0,0,1,5,0,0,32,1,0,2,0,0,11,2,0,16,6,1,2,3,0,13,0,2,1,0,2,0,0,0,0,0,2,0,10,18,0,0,11,0,0,0,0,0,44,1,0,29,19,20,7,13,1,44,14,74,10,1,3,0,3,0,0,0,0,0,0,51,0,0,14,0,3,0,0,6,0,0,14,4,1,0,1,0,19,4,6,0,39,0,1,0,0,3,0,0,2,0,0,0,6,0,3,0,2,6,0,37,9,7,0,25,0,5,2,0,2,0,0,101
OTU_1768,2,2,6,3,9,4,7,5,5,9,2,3,4,5,9,10,11,7,16,33,45,9,19,0,8,36,15,39,41,47,23,13,15,21,33,20,10,12,4,11,34,8,17,25,8,7,6,5,7,16,5,9,26,10,7,9,19,93,2,6,8,6,14,8,6,4,4,9,11,16,11,4,3,5,6,10,6,4,6,1,13,7,2,4,3,4,1,4,5,15,22,15,8,111,6,7,6,7,12,5,12,10,12,0,1,21,6,4,4,5,8,4,0,2,4,6,5,5,4,0,6,11,20,2,6,3,4,1,2,14,11,2,16,13
OTU_174,2,945,0,6,34,45,3,0,0,4,0,16,7,0,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,2,7,68,1,0,9,2,3,0,0,0,0,0,0,0,12,21,0,9,0,6,0,0,10,41,0,0,13,4,0,0,0,0,13,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_1611,1,11,0,0,3,2,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,1,3,0,4,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU_114,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,4,10,0,0,0,8,0,0,0,0,0,0,2,68,0,3,0,17,0,1,0,6,0,0,1,1,0,4,2,0,6,4,10,3,0,3,0,23,1,47,0,0,14,6,9,2,10,0,4,1,15,576,1,7,4,9,2,0,0,0,8,2,1,1309,19,213,8,197,8,4,4,3,1,16,0,21,0,0,0,9,0,14,0,13,4,1,27,0,13,2,0,0,1,0,0,4,0,0,0,0,8,1,1,76,3,0,0,0,3,0,1,0,0,5,0
OTU_172,4,0,2,2,3,4,6,5,4,7,1,2,5,3,2,4,0,7,0,18,32,0,10,0,7,0,5,0,0,0,0,0,19,0,0,0,8,0,9,0,0,0,0,0,7,7,7,5,5,0,11,4,23,0,5,0,18,0,9,0,8,2,11,5,2,8,1,6,5,9,1,2,2,4,3,8,10,0,1,3,15,5,3,4,1,6,1,3,5,8,24,0,3,0,8,4,4,7,5,8,7,6,9,1,2,10,5,4,2,8,14,3,0,1,5,2,5,10,0,1,7,5,9,8,3,6,4,1,4,8,7,6,7,10
OTU_632,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0
OTU_8,3,0,0,1,9092,1,868,2,0,289,115,1062,544,429,154,1,0,0,0,2,4,0,3,0,5,0,1,1,1,6117,0,0,1,0,0,3,1,0,1,1,0,0,2,0,1,0,2,1,1,1,2,11,5,0,0,18,6,30,750,82,14775,0,20349,16430,5275,35328,6115,4599,15600,21376,0,1,0,1,1,7450,3402,570,3972,3079,2,2,0,4,845,1,0,1,0,1,2,0,1,3,6402,6,0,6,754,0,1142,4349,0,8,0,2,1,6,1,0,3,1964,0,9516,81,0,1,11694,0,0,0,1,2,1,6,0,0,0,0,128,0,0,2,0
OTU_635,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1873,3,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,60,0,0,15,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,2,2,11,3,0,0,9,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,493
OTU_79,3,16,1,11,0,1,12,0,0,0,20,3,0,6,10,0,4,17,13,90,90,5,278,16,644,2,25,37,1,875,0,1,0,1,21,114,157,3,98,29,2,31,6,101,267,23,24,93,5,152,20,60,24,4,1,2,0,0,142,0,0,21,43,120,19,29,36,8,4,343,76,16,100,0,0,29,5,12,0,15,298,262,3,46,5,211,7,29,0,9,84,27,37,29,85,0,0,0,31,6,8,0,68,7,51,489,498,17,10,0,21,0,0,1,3,5,0,0,104,21,12,0,0,38,25,67,18,12,0,0,17,11,6,1
OTU_1685,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
OTU_1896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_299,1,89,0,0,3,22,0,0,0,0,0,0,0,0,4,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,6,0,0,7,0,1,1,0,0,0,0,0,1,9,41,1,0,1,0,6,0,2,7,3,0,4,0,2,1,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,5,1,0,10,0,0,0,0,0,0,0,8,0,0
OTU_1245,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,0,0,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,11,1,7,23,5,7,3,101,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,4,3,3,149,10,16,17,0,0,1,0,3,0,7,9,0,0,1,9,3,0,2,0,0,17,0,0,0,0,23,11,1
OTU_1617,1,3,3,4,8,4,9,11,6,10,3,4,4,3,8,7,10,4,24,32,29,13,27,5,8,61,16,36,32,43,20,10,18,22,27,19,8,10,5,26,46,17,24,42,4,7,11,5,10,22,10,5,26,16,3,8,20,123,5,12,5,6,21,8,6,7,4,5,9,13,7,13,7,7,9,12,3,7,3,2,27,12,2,8,6,4,1,7,4,13,33,8,13,122,9,9,4,5,19,5,10,4,19,2,2,23,5,6,2,3,17,3,0,4,7,4,4,6,9,7,11,10,20,10,8,12,2,9,3,12,5,9,17,19
OTU_85,1,0,0,3,0,10,8,0,0,0,2,0,0,1,0,0,0,1,0,3,10,0,2,0,0,14,19,2,20,0,1,0,24,2,6,395,2402,11,435,13,280,56,6,27,93,0,4,71,7,1,6,29,1,0,4,0,0,0,4,0,0,19,6,0,3,20,0,3,0,0,174,8,0,0,1,0,0,0,1,0,0,8,0,14,107,0,9,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,53,4,2,0,0,0,1,0,0,0,0,0,0,19,0,0,0,2,14,2,0,0,0,5,0,12,0,21,5,0,0,18
OTU_1365,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_73,2,0,140,0,28,0,10,0,0,0,0,0,179,0,0,11,0,4,2,28,0,1,17,0,3,16,5,8,5,3,0,0,1,85,2,0,1,1,11,0,0,1,0,0,0,0,0,0,0,11,25,7,78,0,15,0,0,0,0,0,0,0,7,22,9,42,11,83,0,168,23,0,10,0,16,0,0,19,0,30,0,12,66,113,5,9,0,63,0,14,13,1,23,2,0,1,13,3,1,0,4,0,3203,24,0,461,0,1,0,4,0,0,0,0,0,0,0,0,16,10,196,0,145,39,0,0,0,0,0,0,1,0,1,0
OTU_949,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
OTU_1838,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_57,0,2646,0,0,0,2791,61,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,330,29,0,0,177,21,41,0,2,0,16,72,13,0,0,0,0,0,0,0,0,0,0,0,4638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10,0,1279,410,2806,1376,2,2010,1811,348,3249,379,2236,608,123,383,876,2967,2818,3406,4101,6963,479,1676,1294,1954,1810,11988,1645,9278,6348,2389,11861,10342,5956,1063,445,2586,1087,541,40,1140,6,664,1808,688,2438,2095,667,4,5409,891,1800,4214,211,556,139,516,326,591,417,61,161,8637,4444,420,3682,1151,4767,5905,8199,1,7,164,21,1089,3201,2826,1542,3520,169,656,371,88,985,1638,1217,161,302,1,39,1482,0,3,4125,6797,0,5,25,4,88,3,2463,557,3,2,34389,185,103,108,8,20,39,0,2,4863,1,1,1826,6,3,8,2,31,3,187,4847,7259,994,4994,2084,5162,2820,493,2
OTU_334,0,76,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,8,0,0,7,1,0,1,0,26,0,0,0,0,0,0,0,0,0,0,43,6,4,16,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_340,0,27,0,0,0,0,0,1,0,0,1,1,1,0,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,7,0,0,0,0,2,0,0,0,17,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,6,7,0,0,0,2,0,17,0,0,0,0
OTU_197,0,26,2,0,0,0,0,13,0,0,18,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,0,0,2,0,0,0,29,15,4,16,65,0,2,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,180,1,0,0,0,1,1,0,0,0,9,1,0,16,8,0,0,0,0,14,0,0,0,0
OTU_325,0,75,0,0,0,7,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,22,0,3,0,3,5,3,0,0,0,0,0,0,1,0,0,0,0,19,10,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,11,0,0,0,0,0,0,0,0,0,0
OTU_1494,0,86,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_591,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0
OTU_538,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_54,0,208,5,0,0,110,0,40,0,9,68,0,0,0,120,0,0,0,23,1262,1,1,1,0,0,32,0,5,1,0,14,1,16,1,20,55,160,2,92,0,20,5,0,0,1086,13,1,87,3,0,0,13,7,0,0,0,0,0,0,2,0,1,70,22,0,142,3,158,0,0,104,0,0,5,0,9,248,0,0,0,45,329,24,112,49,8,0,18,1161,40,3,8,0,0,971,19,27,0,8,0,0,1,0,0,37,0,0,0,1,0,87,193,0,0,162,0,0,0,8,0,144,0,57,0,665,0,1148,4,0,728,0,1,0,0
OTU_35,0,243,0,83,0,1253,162,1063,0,0,0,4,4,20,54,202,0,0,6,4127,1,0,0,0,26,0,0,75,0,7,0,27,96,1,17,11,1465,6,0,0,0,0,0,0,4,0,0,0,142,0,0,0,96,0,109,0,1,0,296,0,7,0,0,9,8,209,1,2055,7,15,268,10,87,238,189,350,0,17,4,1,1392,309,39,0,11,0,18,23,31,0,158,4,0,0,62,609,597,0,915,0,0,0,1264,0,9,1,267,7,0,0,0,117,0,1,303,15,470,0,27,6,17,565,4131,7,29,1,19,395,0,107,0,0,241,56
OTU_151,0,18,1,0,0,17,0,2,0,0,15,0,66,0,49,0,51,0,58,0,1,5,0,2,0,0,72,1,0,0,11,24,0,46,1,0,0,3,4,0,6,0,0,0,1,4,0,0,40,8,9,9,1,0,4,0,4,0,2,1,3,0,0,32,1,223,2,1,7,1,0,2,0,27,2,7,5,0,7,0,8,0,0,12,3,2,0,0,4,0,0,0,96,7,0,679,0,37,29,0,2,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0
