"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_265","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","unidentified","unidentified","Saccharomycetales sp","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_689","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius uraceus","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_186","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","unidentified","Thelephoraceae sp","-","-","-","-"
"OTU_1787","Fungi","Ascomycota","Leotiomycetes","Helotiales","unidentified","unidentified","Helotiales sp","-","-","-","-"
"OTU_315","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","unidentified","Nectriaceae sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_304","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","Lecythophora fasciculata","Highly Probable","Dark Septate Endophyte","Undefined Endophyte","Highly Probable"
"OTU_1520","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae sedis","Stagonosporopsis","Stagonosporopsis ajacis","Probable","NULL","Plant Pathogen","Probable"
"OTU_577","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Tetrapyrgos","Tetrapyrgos subcinerea","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_751","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_1972","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_520","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_612","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_579","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","Sporothrix sp","Probable","NULL","Animal Pathogen-Human Pathogen","Probable"
"OTU_440","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ophiostoma","Ophiostoma stenoceras","Probable","NULL","Plant Pathogen","Probable"
"OTU_567","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Leucopaxillus","Leucopaxillus subzonalis","Probable","Agaricoid","Undefined Saprotroph","Probable"
"OTU_2001","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_646","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","unidentified","Clavulinaceae sp","-","-","-","-"
"OTU_537","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Incertae sedis","Minimedusa","Minimedusa sp","-","-","-","-"
"OTU_88","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_484","Fungi","Ascomycota","Incertae sedis","Incertae sedis","Incertae sedis","Polyscytalum","Polyscytalum pustulans","Probable","NULL","Plant Pathogen","Probable"
"OTU_337","Fungi","Ascomycota","Leotiomycetes","unidentified","unidentified","unidentified","Leotiomycetes sp","-","-","-","-"
"OTU_545","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium","Tolypocladium nubicola","Probable","NULL","Animal Pathogen","Probable"
"OTU_1632","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","Glomus sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_648","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_477","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Cryptococcus","Cryptococcus arrabidensis","Highly Probable","Yeast","Animal Pathogen-Saprotroph","Highly Probable"
"OTU_838","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula sp YM24636","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_665","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Leptoxyphium","Leptoxyphium sp TMS_2011","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_412","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodosporidium","Rhodosporidium diobovatum","Highly Probable","Yeast","Undefined Saprotroph","Highly Probable"
"OTU_704","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella zychae","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_196","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Gymnopus","Gymnopus cylindricus","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_454","Fungi","Basidiomycota","Tremellomycetes","unidentified","unidentified","unidentified","Tremellomycetes sp","-","-","-","-"
"OTU_821","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria pleurospora","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_662","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Incertae sedis","Exidia","Exidia sp","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_624","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Scytalidium","Scytalidium cuboideum","Probable","NULL","Wood Saprotroph","Probable"
"OTU_623","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_1995","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_657","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula cresolica","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
"OTU_266","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_324","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_379","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma neglectum","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_364","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma neglectum","Possible","Agaricoid","Ectomycorrhizal-Saprotroph","Possible"
"OTU_221","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_1025","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unidentified","Sebacinaceae sp","-","-","-","-"
"OTU_275","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius sp","Highly Probable","NULL","Ectomycorrhizal","Highly Probable"
"OTU_509","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_645","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_610","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_679","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum vulgare","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_471","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae sedis","Candida","Candida digboiensis","Possible","Yeast","Undefined Saprotroph","Possible"
"OTU_661","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_599","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","unidentified","Russulaceae sp","Probable","Agaricoid, Corticioid, Gasteroid, Pleurotoid, or Secotioid","Ectomycorrhizal","Probable"
"OTU_503","Fungi","Ascomycota","Dothideomycetes","Pleosporales","unidentified","unidentified","Pleosporales sp","-","-","-","-"
"OTU_595","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium aureum","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_442","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_683","Fungi","Basidiomycota","Tremellomycetes","Tremellales","unidentified","unidentified","Tremellales sp","Possible","Tremelloid-Yeast","Mycoparasite-Undefined Saprotroph","Possible"
"OTU_663","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma stromaticum","Highly Probable","NULL","Wood Saprotroph","Highly Probable"
"OTU_762","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_682","Fungi","Zygomycota","Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella zychae","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_261","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Rhodotorula","Rhodotorula nothofagi","Probable","NULL","Animal Symbiont-Undefined Saprotroph","Probable"
