"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Confidence.Ranking","Growth.Morphology","Guild","Confidence.Ranking.1"
"OTU_77","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Boletus fechtneri","Highly Probable","Boletoid","Ectomycorrhizal","Highly Probable"
"OTU_269","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi sp","-","-","-","-"
"OTU_437","Fungi","Chytridiomycota","Chytridiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium sp","Probable","NULL","Parasite","Probable"
"OTU_521","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_339","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_206","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala salmonis","Probable","Facultative Yeast","Undefined Saprotroph","Probable"
"OTU_226","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","unidentified","Pleosporaceae sp","-","-","-","-"
"OTU_1696","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","Sordariomycetes sp","-","-","-","-"
"OTU_1186","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_466","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Incertae sedis","Acremonium","Acremonium nepalense","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_338","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_446","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_382","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Paecilomyces","Paecilomyces marquandii","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_695","Fungi","Zygomycota","Incertae sedis","Mucorales","Umbelopsidaceae","Umbelopsis","Umbelopis ramanniana var angulispora","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_1121","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unidentified","Glomeraceae sp","Highly Probable","NULL","Arbuscular Mycorrhizal","Highly Probable"
"OTU_534","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","unidentified","Pleosporaceae sp","-","-","-","-"
"OTU_191","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_649","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hyphodontiella","Hyphodontiella multiseptata","Probable","NULL","Undefined Saprotroph","Probable"
"OTU_432","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales sp","Possible","Mold","Undefined Saprotroph","Possible"
"OTU_176","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus cucumeris","Probable","NULL","Plant Pathogen","Probable"
"OTU_190","Fungi","Ascomycota","Leotiomycetes","Helotiales","Incertae sedis","Scytalidium","Scytalidium circinatum","Probable","NULL","Wood Saprotroph","Probable"
"OTU_235","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","unidentified","Ceratobasidiaceae sp","-","-","-","-"
"OTU_676","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota sp","-","-","-","-"
"OTU_550","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Incertae sedis","Sporobolomyces","Sporobolomyces symmetricus","Probable","Facultative Yeast","Mycoparasite","Probable"
