Measurement Time,Site,Treatment,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC,moisture,temp,EC
09/18/12 12:45,5,unexposed,0.064,25.2,0.01,0.128,25.5,0.08,0.066,24.2,0.01
09/18/12 12:46,5,unexposed,0.065,25.4,0.02,0.129,25.4,0.08,0.067,24.4,0.01
09/18/12 12:47,5,unexposed,0.074,25.5,0.02,0.125,25.4,0.08,0.067,24.5,0.02
09/18/12 12:48,5,unexposed,0.074,25.5,0.02,0.124,25.5,0.08,0.068,24.5,0.01
09/18/12 12:49,5,unexposed,0.074,25.5,0.02,0.125,25.5,0.08,0.066,24.5,0.01
09/18/12 12:50,,,,,,,,,,,
09/18/12 12:51,,,,,,,,,,,
09/18/12 12:52,,,,,,,,,,,
09/18/12 12:53,,,,,,,,,,,
09/18/12 12:54,,,,,,,,,,,
09/18/12 12:55,,,,,,,,,,,
09/18/12 12:56,,,,,,,,,,,
09/18/12 12:57,,,,,,,,,,,
09/18/12 12:58,,,,,,,,,,,
09/18/12 12:59,,,,,,,,,,,
09/18/12 13:00,,,,,,,,,,,
09/18/12 13:01,,,,,,,,,,,
09/18/12 13:02,,,,,,,,,,,
09/18/12 13:03,,,,,,,,,,,
09/18/12 13:04,,,,,,,,,,,
09/18/12 13:05
09/18/12 13:06
09/18/12 13:07
09/18/12 13:08
09/18/12 13:09
09/18/12 13:10
09/18/12 13:11
09/18/12 13:12
09/18/12 13:13
09/18/12 13:14
09/18/12 13:15
09/18/12 13:16
09/18/12 13:17
09/18/12 13:18
09/18/12 13:19
09/18/12 13:20
09/18/12 13:21
09/18/12 13:22
09/18/12 13:23
09/18/12 13:24
09/18/12 13:25
09/18/12 13:26
09/18/12 13:27
09/18/12 13:28
09/18/12 13:29
09/18/12 13:30
09/18/12 13:31
09/18/12 13:32
09/18/12 13:33
09/18/12 13:34
09/18/12 13:35
09/18/12 13:36
09/18/12 13:37,,,,,,,,,,,
09/18/12 13:38,,,,,,,,,,,
09/18/12 13:39,6,unexposed,0.074,30.6,0.01,0.024,29.5,0,0.023,30.4,0
09/18/12 13:40,6,unexposed,0.072,31.5,0,0.026,29.9,0,0.026,30.7,0
09/18/12 13:41,6,unexposed,0.072,31.8,0,0.031,30.1,0,0.032,30.8,0
09/18/12 13:42,6,unexposed,0.072,32,0,0.031,30.4,0,0.033,30.8,0
09/18/12 13:43,6,unexposed,0.077,32.5,0,0.028,31.1,0,0.038,31,0
09/18/12 13:44,,,,,,,,,,,
09/18/12 13:45,6,exposed,0.056,31.2,0,0.031,30.7,0,0.053,30.6,0
09/18/12 13:46,6,exposed,0.057,31.2,0,0.03,31.2,0,0.052,31.1,0
09/18/12 13:47,6,exposed,0.058,31.4,0,0.032,31.6,0,0.052,31.7,0
09/18/12 13:48,6,exposed,0.057,31.3,0,0.034,32,0,0.055,32.4,0
09/18/12 13:49,6,exposed,0.056,31.3,0,0.035,32.4,0,0.054,33,0
09/18/12 13:50,,,,,,,,,,,
09/18/12 13:51,,,,,,,,,,,
09/18/12 13:52,10,exposed,0.049,30.8,0.01,0.058,32.5,0,0.101,32.7,0.03
09/18/12 13:53,10,exposed,0.048,30.7,0.01,0.059,33.4,0,0.102,32.9,0.03
09/18/12 13:54,10,exposed,0.047,30.7,0.01,0.059,34.2,0,0.102,33.3,0.03
09/18/12 13:55,10,exposed,0.044,30.9,0.01,0.059,34.7,0,0.105,33.6,0.03
09/18/12 13:56,10,exposed,0.045,31.1,0.01,0.059,35.2,0,0.106,33.7,0.03
09/18/12 13:57,,,,,,,,,,,
09/18/12 13:58,,,,,,,,,,,
09/18/12 13:59,,,,,,,,,,,
09/18/12 14:00,,,,,,,,,,,
09/18/12 14:01,,,,,,,,,,,
09/18/12 14:02,,,,,,,,,,,
09/18/12 14:03,,,,,,,,,,,
09/18/12 14:04,10,unexposed,0.202,35.4,0.19,0.05,41,0,0.087,37.6,0.02
09/18/12 14:05,10,unexposed,0.201,35.5,0.18,0.051,41.8,0,0.086,38.2,0.01
09/18/12 14:06,10,unexposed,0.201,35.7,0.18,0.051,42.4,0,0.086,38.6,0.02
09/18/12 14:07,10,unexposed,0.202,36,0.18,0.051,43,0,0.086,39,0.01
09/18/12 14:08,10,unexposed,0.202,36.2,0.18,0.051,43.5,0,0.086,39.4,0.01
09/18/12 14:09,,,,,,,,,,,
09/18/12 14:10,,,,,,,,,,,
09/18/12 14:11,,,,,,,,,,,
09/18/12 14:12,7,exposed,0.032,35,0,0.037,32.3,0,,,
09/18/12 14:13,7,exposed,0.034,37,0,0.042,34.4,0,0.053,30.6,0
09/18/12 14:14,7,exposed,0.036,38.2,0,0.041,35.6,0,0.052,30.6,0
09/18/12 14:15,7,exposed,0.036,38.9,0,0.042,36.6,0,0.049,30.6,0
09/18/12 14:16,7,exposed,0.037,39.6,0,0.042,37.4,0,0.052,30.7,0
09/18/12 14:17,7,exposed,0.037,40.2,0,0.042,38,0,0.052,31.1,0
09/18/12 14:18,,,,,,,,,,,
09/18/12 14:19,,,,,,,,,,,
09/18/12 14:20,7,unexposed,0.087,31.1,0.07,0.091,35.4,0.04,0.123,36.8,0.06
09/18/12 14:21,7,unexposed,0.091,30.9,0.07,0.088,34.4,0.03,0.117,37.6,0.05
09/18/12 14:22,7,unexposed,0.093,30.9,0.07,0.091,33.7,0.03,0.12,38.2,0.05
09/18/12 14:23,7,unexposed,0.092,30.8,0.07,0.092,33.2,0.03,0.121,38.8,0.05
09/18/12 14:24,7,unexposed,0.092,30.8,0.07,0.091,32.7,0.03,0.12,39.2,0.05
09/18/12 14:25,7,unexposed,0.092,30.8,0.07,0.091,32.3,0.03,0.12,39.3,0.05
09/18/12 14:26,,,,,,,,,,,
09/18/12 14:27,,,,,,,,,,,
09/18/12 14:28,8,exposed,0.066,33,0.02,0.061,36.3,0.01,0.074,34.5,0
09/18/12 14:29,8,exposed,0.066,34,0.02,0.06,36.3,0.01,0.073,35.1,0
