Genotype,Block,Wind Exposure,Plant Position,Unique Number,Dead?,Leaves Collected?,Mature Green Leaves,Shoots sprouting at base,Max Height,Top and bottom shoot Dist,1 shoot M,2 shoot M,3 shoot M,4 shoot M,5 shoot M,6 shoot M,7 shoot M,8 shoot M,9 shoot M,10 shoot M,1 shoot I,2 shoot I,3 shoot I,4 shoot I,5 shoot I,6 shoot I,Notes
F,3,Unexposed,2,52,0,yes,25,,28,20,4.5,5,3.5,2,3.5,3,0,0,0,0,,,,,,,
L,3,Unexposed,3,53,0,yes,23,,27.5,8,2.5,1.5,1.5,1.5,3,2,0,0,0,0,,,,,,,decent amount of herbivory
I,3,Unexposed,4,54,0,yes,23,,23,13,4,7.5,5,2,1,2,1,0,0,0,,,,,,,
S,3,Unexposed,5,55,0,yes,28,,32,20,11.5,4,6.5,5,4,0,0,0,0,0,,,,,,,20 eggs
U,3,Unexposed,6,56,0,yes,20,,28.5,22,2.5,1,6.5,4,2,1.5,1,0,0,0,,,,,,,6 of same eggs from above
X,3,Unexposed,7,57,0,yes,14,,41.5,4,11,6,0,0,0,0,0,0,0,0,,,,,,,"1 galled leaf, possible volcano"
J,3,Unexposed,8,58,1,yes,,,,19,0,0,0,0,0,0,0,0,0,0,,,,,,,former height of 35
T,3,Unexposed,9,59,0,yes,9,,42.5,12,12.5,0,0,0,0,0,0,0,0,0,,,,,,,
G,3,Unexposed,10,60,0,yes,8,,27,7,6,1,0,0,0,0,0,0,0,0,,,,,,,"sawfly egg is on upperside edge, pic taken at 11:25"
W,4,Exposed,1,61,0,yes,12,,36,0.5,8.2,5,0,0,0,0,0,0,0,0,,,,,,,
F,4,Exposed,2,62,0,yes,11,,29.5,15,6,2,4,2,0,0,0,0,0,0,,,,,,,
L,4,Exposed,3,63,0,yes,9,1,36.5,19,8,4,1.5,0,0,0,0,0,0,0,1,,,,,,cylid nymph
S,4,Exposed,4,64,0,yes,11,,40,12,16,2.5,2.5,0,0,0,0,0,0,0,,,,,,,
I,4,Exposed,5,65,0,yes,24,,16.5,12.5,1,1.5,1.5,1,0,0,0,0,0,0,,,,,,,
J,4,Exposed,6,66,0,yes,12,,34,5,9,5.5,3.5,2.5,0,0,0,0,0,0,,,,,,,
X,4,Exposed,7,67,0,yes,5,,36,,8,0,0,0,0,0,0,0,0,0,,,,,,,
U,4,Exposed,8,68,0,yes,5,,32,,12,4.5,0,0,0,0,0,0,0,0,,,,,,,
T,4,Exposed,9,69,0,yes,4,,25,,6.5,0,0,0,0,0,0,0,0,0,2,2,2,,,,2nd shoot leaves are small
G,4,Exposed,10,70,0,no,,4,8,,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,,,
F,4,Unexposed,1,71,0,yes,38,,28.5,15.5,4,8,2,2.5,2.5,3.5,4,0,0,0,,,,,,,
W,4,Unexposed,2,72,0,yes,39,,38.5,16.5,9,4.5,3,3.5,2.5,0,0,0,0,0,,,,,,,
L,4,Unexposed,3,73,0,yes,60,,32.5,18.5,4,4,3,1.5,2.5,1.5,1,2,1.5,0,,,,,,,
J,4,Unexposed,4,74,0,yes,18,,30,3,7,3,1,2.5,4,0,0,0,0,0,,,,,,,1 sawfly  larva
I,4,Unexposed,5,75,0,yes,31,,29,18,3,3.5,1.5,0.5,1.5,1.5,1.5,0,0,0,,,,,,,4 leaves have %100 damage
X,4,Unexposed,6,76,0,yes,14,,32.5,1.5,5,6,0,0,0,0,0,0,0,0,,,,,,,
U,4,Unexposed,7,77,0,yes,8,,33.5,5.5,6.5,6,0,0,0,0,0,0,0,0,0.5,0.5,,,,,
T,4,Unexposed,8,78,0,yes,11,,42,17.5,14,2,1,0,0,0,0,0,0,0,,,,,,,
S,4,Unexposed,9,79,0,yes,22,,25.5,15,3,9,3.5,3.5,2,2,0,0,0,0,,,,,,,"brown LH, many yellow leaves"
G,4,Unexposed,10,80,0,yes,12,,19.5,3.5,5,4.5,0,0,0,0,0,0,0,0,,,,,,,
W,5,Exposed,1,81,0,yes,16,,33,26,5.5,4.5,4.5,1.5,0,0,0,0,0,0,,,,,,,
F,5,Exposed,2,82,0,yes,5,,36,12.5,7,4.5,4,0,0,0,0,0,0,0,,,,,,,
L,5,Exposed,3,83,0,yes,2,5,9,,1,0,0,0,0,0,0,0,0,0,1,2.5,2.5,0.5,0.5,,
U,5,Exposed,4,84,0,no,,4,6,,0,0,0,0,0,0,0,0,0,0,2.5,2.5,3,2,,,
X,5,Exposed,5,85,0,yes,6,,30,3.5,3.5,3,1.5,0,0,0,0,0,0,0,,,,,,,
J,5,Exposed,6,86,0,yes,3,2,33,18,8,2,0,0,0,0,0,0,0,0,0.5,,,,,,another shoot with 4 cm live tissue
S,5,Exposed,7,87,0,yes,13,,31,13.5,10,8.5,2.5,0,0,0,0,0,0,0,,,,,,,winged giant willow aphid female?
T,5,Exposed,8,88,0,no,,5,37.5,2,7.5,7.5,0,0,0,0,0,0,0,0,1,1,0.5,2,1.5,,no mature leaves
I,5,Exposed,9,89,0,yes,4,2,18,2,4.5,3,0,0,0,0,0,0,0,0,1,0.5,,,,,
G,5,Exposed,10,90,1,yes,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,uprooted
W,5,Unexposed,1,91,0,yes,31,,36,22,8,5,1.5,3.5,2,0,0,0,0,0,,,,,,,1 yellow knife LH
F,5,Unexposed,2,92,0,yes,24,,28,9,4,7,5,2,0,0,0,0,0,0,,,,,,,"1 sawfly chewed %50 of 1 leaf, pic taken at 12:00"
U,5,Unexposed,3,93,0,yes,11,,31,17,13,3.5,0,0,0,0,0,0,0,0,,,,,,,another sawfly found
J,5,Unexposed,4,94,0,yes,25,,38,16,7,12,7,5.5,4.5,3.5,2,0,0,0,,,,,,,
X,5,Unexposed,5,95,0,yes,10,3,58,,10,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,,,1 cylid
L,5,Unexposed,6,96,0,yes,37,,32,16,5,3,3.5,3,2.5,1.5,2.5,1.5,1,1,,,,,,,
S,5,Unexposed,7,97,0,yes,14,,34,10,10.5,5,2.5,0,0,0,0,0,0,0,,,,,,,
T,5,Unexposed,8,98,0,yes,19,,37.5,11,7,7.5,2,6,0,0,0,0,0,0,,,,,,,"striped sawfly, 1 stem gall"
I,5,Unexposed,9,99,0,yes,13,,27,6,10,10,0,0,0,0,0,0,0,0,,,,,,,
G,5,Unexposed,10,100,0,yes,8,,24,17,5,1,2,1.5,0,0,0,0,0,0,,,,,,,
W,6,Exposed,1,101,0,yes,23,,30,19,5.5,4.5,1.5,3.5,2,0,0,0,0,0,,,,,,,spider with white stripe
F,6,Exposed,2,102,0,yes,8,,28,21,3,3.5,5,2,1.5,1,0,0,0,0,,,,,,,
L,6,Exposed,3,103,0,no,,5,11,,0,0,0,0,0,0,0,0,0,0,1,1.5,1,2.5,1,,
J,6,Exposed,4,104,0,no,,3,5,,0,0,0,0,0,0,0,0,0,0,1,0.5,1,,,,
U,6,Exposed,5,105,0,no,5,1,6,,4,1,0,0,0,0,0,0,0,0,0.5,,,,,,
X,6,Exposed,6,106,0,yes,10,,30.5,,4,3,3,2,1.5,0,0,0,0,0,,,,,,,
T,6,Exposed,7,107,0,no,,3,24.5,21.5,3.5,0,0,0,0,0,0,0,0,0,2.5,4,0.5,,,,
S,6,Exposed,8,108,0,no,,2,30.5,,7,0,0,0,0,0,0,0,0,0,0.5,0.5,1,,,,
I,6,Exposed,9,109,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
G,6,Exposed,10,110,0,yes,1,2,11,,2,0,0,0,0,0,0,0,0,0,6.5,3.5,,,,,shoots are long but young
F,6,Unexposed,1,111,0,yes,13,,25,,4,3,2.5,4,1.5,0,0,0,0,0,,,,,,,
W,6,Unexposed,2,112,0,no,3,6,38,13,11,0,0,0,0,0,0,0,0,0,1.5,1,0.5,0.5,0.5,0.5,spider disk egg sack
U,6,Unexposed,3,113,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
J,6,Unexposed,4,114,0,yes,21,1,28.5,,2.5,3.5,5,1.5,2,2.5,1.5,0,0,0,0.5,,,,,,
L,6,Unexposed,5,115,0,yes,18,,32.5,21.5,6,4.5,2.5,3,0,0,0,0,0,0,,,,,,,orange spider with white stripe
T,6,Unexposed,6,116,0,yes,7,,42,26,11,0,0,0,0,0,0,0,0,0,,,,,,,
X,6,Unexposed,7,117,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
S,6,Unexposed,8,118,0,yes,20,,26,15,6,11,0,0,0,0,0,0,0,0,,,,,,,
I,6,Unexposed,9,119,0,yes,16,,27,9,7.5,2.5,7.5,0,0,0,0,0,0,0,,,,,,,
G,6,Unexposed,10,120,0,yes,4,7,28,20,2,2.5,1.5,0,0,0,0,0,0,0,,,,,,,2 new shoots from original shoot
W,7,Exposed,1,121,0,yes,15,,35.5,,9,7,0,0,0,0,0,0,0,0,,,,,,,
F,7,Exposed,2,122,0,yes,10,,20.5,11,6.5,2.5,2,0,0,0,0,0,0,0,,,,,,,
U,7,Exposed,3,123,0,yes,10,,34,15,8,10,2,1.5,0,0,0,0,0,0,,,,,,,
L,7,Exposed,4,124,0,yes,7,5,30.5,14.5,3,4,3,3.5,2.5,1.5,0,0,0,0,2,2.5,1.5,3,0.5,,young shoot accidentally removed
J,7,Exposed,5,125,0,yes,10,,24,2.5,3.5,12.5,0,0,0,0,0,0,0,0,,,,,,,
S,7,Exposed,6,126,1,yes,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
T,7,Exposed,7,127,0,yes,5,,37,7.5,10,3.5,4,0,0,0,0,0,0,0,,,,,,,
X,7,Exposed,8,128,0,yes,15,,34,16,10,3,5,2.5,2.5,0,0,0,0,0,,,,,,,
I,7,Exposed,9,129,0,yes,8,,26,4,7,1.5,2,0,0,0,0,0,0,0,,,,,,,
G,7,Exposed,10,130,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
W,7,Unexposed,1,131,0,yes,22,,35,17,11.5,4,3.5,1.5,2,0,0,0,0,0,,,,,,,
F,7,Unexposed,2,132,0,yes,22,,32,16,3.5,3,3.5,1,0,0,0,0,0,0,,,,,,,
J,7,Unexposed,3,133,0,yes,20,,44.5,8,15.5,1.5,3,2,2,0,0,0,0,0,,,,,,,
S,7,Unexposed,4,134,1,no,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
L,7,Unexposed,5,135,0,yes,23,,34,10,6.5,2,2.5,1.5,1.5,1,1.5,0,0,0,,,,,,,
U,7,Unexposed,6,136,0,yes,12,,34.5,,17,0,0,0,0,0,0,0,0,0,,,,,,,
T,7,Unexposed,7,137,0,yes,16,,33.5,18,5.5,2.5,3,2,0.5,2,0,0,0,0,,,,,,,
X,7,Unexposed,8,138,0,yes,5,1,32.5,13.5,6.5,3.5,3,2,0,0,0,0,0,0,0.5,,,,,,
I,7,Unexposed,9,139,0,yes,5,,14,,11.5,0,0,0,0,0,0,0,0,0,,,,,,,
G,7,Unexposed,10,140,0,yes,9,,26,17.5,1,6.5,2,6.5,0,0,0,0,0,0,,,,,,,
F,8,Exposed,1,141,0,yes,9,,27.5,25.5,1,3,2,4.5,0.5,0.5,0,0,0,0,,,,,,,aphids are on stem of new growing shoot
W,8,Exposed,2,142,0,yes,25,,36,8,9,5,6,5,0,0,0,0,0,0,,,,,,,
J,8,Exposed,3,143,0,no,,4,10,,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,0.5,,,
S,8,Exposed,4,144,0,yes,14,,32,7,7,4.5,3.5,0,0,0,0,0,0,0,,,,,,,
T,8,Exposed,5,145,0,yes,8,,36.5,6.5,10.5,5,6.5,0,0,0,0,0,0,0,,,,,,,
U,8,Exposed,6,146,1,yes,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,
L,8,Exposed,7,147,0,yes,27,,33,24,5,5,2,4.5,3.5,1.5,1,0,0,0,,,,,,,"1 spider disk egg sack, 1 old web"
I,8,Exposed,8,148,0,yes,15,,28.5,6,11,9,0,0,0,0,0,0,0,0,,,,,,,clear spider
X,8,Exposed,9,149,0,yes,,6,20.5,,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1.5,1,
G,8,Exposed,10,150,0,yes,,3,9,,0,0,0,0,0,0,0,0,0,0,2,2,4,,,,
W,8,Unexposed,1,151,0,yes,20,,37,3,12,4,3,0,0,0,0,0,0,0,,,,,,,
J,8,Unexposed,2,152,0,yes,28,,31,21.5,4,4,5,4,6,3,0,0,0,0,,,,,,,
F,8,Unexposed,3,153,0,yes,13,,29,8,3,4,1.5,1,2,0,0,0,0,0,,,,,,,11 mite galled leaves
L,8,Unexposed,4,154,0,yes,49,,37.5,22,12.5,7,4,5,0.5,5,1,1,1,1,,,,,,,2 volcano galls
T,8,Unexposed,5,155,0,yes,22,,35,13.5,5.5,6,2,1,0,0,0,0,0,0,,,,,,,
G,8,Unexposed,6,156,0,yes,11,,25,16.5,5.5,1.5,3.5,0.5,0,0,0,0,0,0,,,,,,,
U,8,Unexposed,7,157,0,yes,28,,31,19,7.5,7.5,6.5,6,0,0,0,0,0,0,,,,,,,
S,8,Unexposed,8,158,0,yes,17,,31.5,13,6,4.5,7,2,0,0,0,0,0,0,,,,,,,
I,8,Unexposed,9,159,0,yes,21,,22,12,4,10,4,4,1,0,0,0,0,0,0.5,,,,,,
X,8,Unexposed,10,160,0,yes,14,,36.5,3,11,5,3,1.5,0,0,0,0,0,0,,,,,,,
W,9,Exposed,1,161,0,yes,12,,29,13,4,5,1,0,0,0,0,0,0,0,,,,,,,spider disk egg sack
J,9,Exposed,2,162,0,yes,,,32,,3,0,0,0,0,0,0,0,0,0,1,1.5,,,,,
F,9,Exposed,3,163,0,yes,11,,29,7.5,5,3.5,4,0,0,0,0,0,0,0,,,,,,,
L,9,Exposed,4,164,0,yes,1,2,11.5,,2.5,0,0,0,0,0,0,0,0,0,0.5,1,,,,,
G,9,Exposed,5,165,0,yes,4,,10,,4,0,0,0,0,0,0,0,0,0,,,,,,,red ants appear to be coming from the base
T,9,Exposed,6,166,0,no,,2,33,,6,0,0,0,0,0,0,0,0,0,1.5,1.5,,,,,3cm of shoot not counted because black
I,9,Exposed,7,167,0,yes,1,,27.5,,6,0,0,0,0,0,0,0,0,0,,,,,,,1.5 cm shoot coming from main shoot
X,9,Exposed,8,168,0,yes,8,,32.5,2.5,6,3.5,5.5,0,0,0,0,0,0,0,,,,,,,twisty gall
S,9,Exposed,9,169,0,yes,4,1,18.5,3,10,4,0,0,0,0,0,0,0,0,1,,,,,,
U,9,Exposed,10,170,0,yes,,1,29,,4,0,0,0,0,0,0,0,0,0,3.5,,,,,,
J,9,Unexposed,1,171,0,yes,3,2,27.5,9,5.5,5,5,2,2,0,0,0,0,0,0.5,0.5,,,,,
W,9,Unexposed,2,172,0,yes,24,,37.5,3,10.5,3,5,3,0,0,0,0,0,0,,,,,,,fluffy spider egg sack
F,9,Unexposed,3,173,0,yes,27,,29,14.5,2,1.5,5,5,7,1,0,0,0,0,,,,,,,
L,9,Unexposed,4,174,0,yes,35,1,34,17.5,6,4,1,2,0.5,1,1,1,0,0,0.5,,,,,,
G,9,Unexposed,5,175,0,yes,3,1,29,3,7.5,2,0,0,0,0,0,0,0,0,2,,,,,,spider with white stripe
T,9,Unexposed,6,176,0,yes,1,,36,1.5,7,7,0,0,0,0,0,0,0,0,,,,,,,
S,9,Unexposed,7,177,0,yes,23,1,33.5,17.5,11,8,2.5,3,0,0,0,0,0,0,2,,,,,,
X,9,Unexposed,8,178,0,yes,21,,32.5,19.5,7.5,3,3,2.5,2,0,0,0,0,0,,,,,,,
I,9,Unexposed,9,179,0,yes,16,,35.5,14,18.5,2,2.5,2,0,0,0,0,0,0,,,,,,,6 of counted leaves were small
U,9,Unexposed,10,180,0,yes,16,,29,5,3,10,9,2,0,0,0,0,0,0,,,,,,,
J,10,Exposed,1,181,0,no,,2,10.5,,2,0,0,0,0,0,0,0,0,0,1,0.5,,,,,
W,10,Exposed,2,182,0,yes,10,,31.5,1,10,5,0,0,0,0,0,0,0,0,,,,,,,
F,10,Exposed,3,183,0,yes,2,,23,12,2,4,3,2.5,0,0,0,0,0,0,,,,,,,
G,10,Exposed,4,184,0,yes,11,,15,10.5,1,3.5,4.5,0,0,0,0,0,0,0,,,,,,,
T,10,Exposed,5,185,0,yes,2,4,32,8.5,6.5,4,6,4,0,0,0,0,0,0,0.5,0.5,0.5,0.5,,,
I,10,Exposed,6,186,0,yes,10,,29.5,0.5,8.5,8,0,0,0,0,0,0,0,0,,,,,,,
L,10,Exposed,7,187,0,yes,4,5,28.5,16.5,3,2,2.5,0,0,0,0,0,0,0,1,1,1,3,2.5,,
S,10,Exposed,8,188,0,no,,1,6,,0,0,0,0,0,0,0,0,0,0,3,,,,,,
U,10,Exposed,9,189,0,yes,10,,35,2,12,2.5,0,0,0,0,0,0,0,0,,,,,,,
X,10,Exposed,10,190,0,yes,13,,32.5,,9,7,5,0,0,0,0,0,0,0,,,,,,,
J,10,Unexposed,1,191,0,yes,25,,34.5,23,7,9,4.5,3,3,2,3,1,0,0,,,,,,,
W,10,Unexposed,2,192,0,yes,18,,26.5,9.5,12.5,7,3.5,0,0,0,0,0,0,0,,,,,,,1 yellow knife nymph
F,10,Unexposed,3,193,0,yes,14,,26,7.5,7,3,6,0,0,0,0,0,0,0,,,,,,,8 leaves have %100 damage
G,10,Unexposed,4,194,0,yes,8,,25,19,5,1,2,0,0,0,0,0,0,0,,,,,,,
T,10,Unexposed,5,195,0,yes,11,,37,2,10.5,6,0,0,0,0,0,0,0,0,,,,,,,1 striped sawfly
I,10,Unexposed,6,196,0,yes,28,,31.5,11,8,3,2.5,3.5,2.5,1.5,0,0,0,0,,,,,,,twisty gall
L,10,Unexposed,7,197,0,yes,28,,33,21.5,4.5,3,1.5,5,2,1.5,2,0,0,0,,,,,,,"old orb weaver web, 1 striped sawfly"
S,10,Unexposed,8,198,0,yes,13,,38,12,15,7,0,0,0,0,0,0,0,0,,,,,,,
U,10,Unexposed,9,199,0,yes,14,,33,11,7,5,3,7,0,0,0,0,0,0,,,,,,,
X,10,Unexposed,10,200,0,yes,15,,33,4,9.5,3.5,2.5,0,0,0,0,0,0,0,,,,,,,
